GSM519722	GSM519723	GSM519724	GSM519725	GSM519726	GSM519727	GSM519728	GSM519729	GSM519730	GSM519731	GSM519732	GSM519733	GSM519734	GSM519735	GSM519736	GSM519737	GSM519738	GSM519739	GSM519740	GSM519741	GSM519742	GSM519743	GSM519744	GSM519745	GSM519746	GSM519747	GSM519748	GSM519749	GSM519750	GSM519751	GSM519752	GSM519753	GSM519754	GSM519755	GSM519756	GSM519757	GSM519758	GSM519759	GSM519760	GSM519761	GSM519762	GSM519763	GSM519764	GSM519765	GSM519767	GSM519768	GSM519769	GSM519770	GSM519771	GSM519772	GSM519773	GSM519774	GSM519775	GSM519776	GSM519777	GSM519778	GSM519779	GSM519780	GSM519781	GSM519782	GSM519783	GSM519784	GSM519785	GSM519786	GSM519787	GSM519788	GSM519789	GSM519790	GSM519791	GSM519792	GSM519793	GSM519794	GSM519795	GSM519796	GSM519797	GSM519798	GSM519799	GSM519800	GSM519801	GSM519802	GSM519803	GSM519804	GSM519805	GSM519806	GSM519807	GSM519808	GSM519809	GSM519810
GPLD1	3.179124	3.520123	3.563914	3.583259	3.302077	3.553787	3.373894	3.356902	3.250055	4.140173	3.459551	3.420658	3.397841	3.186322	3.287496	3.422614	3.48215	3.559188	3.360498	3.249403	3.519072	3.667327	3.739851	3.637449	3.301095	3.388827	3.338002	3.229402	3.089819	3.196247	3.799945	3.558604	3.354062	3.083731	3.194224	3.095617	3.105419	3.517017	4.307444	3.116205	3.13945	3.286073	3.107416	3.199856	3.230448	3.422839	3.566284	3.262257	3.062384	3.451737	3.780782	3.291852	3.42743	3.153078	3.217161	3.211491	3.103203	3.247414	3.227014	3.189708	3.223703	3.336308	3.262777	3.545347	3.391938	3.353566	3.382728	3.222971	3.350876	3.205772	3.158608	3.339536	3.069101	3.449845	3.2463	3.359553	3.258663	3.185386	3.092908	3.242148	3.118947	3.148866	3.291857	3.213162	3.280456	3.402461	3.155484	3.127207
HDAC2	6.201935	6.6915	6.360792	6.21195	6.742094	6.450243	6.743832	7.617547	6.2515	6.407591	6.412043	6.961107	7.000197	6.364232	6.314837	6.608614	7.034993	6.517251	6.636155	6.429644	6.579586	6.389438	6.643837	7.170728	6.45149	7.469772	5.848505	6.347274	6.361848	7.013313	6.471533	7.520195	6.218727	6.771255	6.798252	6.734313	6.647327	6.845212	6.852708	7.071344	6.223805	6.140605	6.565841	6.236878	6.670199	6.755895	6.310572	6.719852	6.111004	6.242572	6.569992	6.702376	6.827154	6.215215	6.670183	6.735806	6.55735	6.593427	6.845471	6.870134	6.255087	7.464145	6.420694	6.794351	6.748042	6.533385	6.504842	5.924351	6.282564	6.992341	6.477458	6.351604	6.31999	6.062767	7.316283	6.653433	7.13998	6.8288	6.458174	7.326529	6.197248	6.087466	6.54286	6.996111	6.337272	6.782437	6.332736	6.320956
HLA-F	9.825333	8.678581	10.289609	9.383931	9.570469	10.370135	8.486899	9.118894	9.268911	9.840632	10.006788	9.167938	10.408734	9.565776	8.719701	8.72388	10.380422	9.395204	10.303017	9.405303	9.725285	10.247194	7.591394	9.739346	10.227807	9.6749	9.163742	8.849935	9.550328	8.947558	10.542506	9.82162	8.812163	10.061471	9.399679	9.912307	8.431194	10.118066	7.364789	9.145512	8.433583	9.829561	8.760792	8.653231	10.278304	10.444275	10.509667	9.271735	8.172371	8.160782	10.40781	8.569157	9.980507	8.738028	10.329714	9.592262	10.732025	8.682611	10.314528	9.927801	8.643092	7.943348	9.577147	9.509653	9.888461	8.949156	8.883455	9.457264	8.422312	8.82832	7.934656	10.169707	9.287494	8.100022	9.670922	8.047375	8.809469	9.582831	9.39286	8.580688	9.014709	9.332945	9.160527	8.134213	8.585309	10.168745	8.2502	9.172474
IKZF3	5.368983	6.012025	5.937286	4.488417	3.91927	5.555235	4.279978	3.935683	4.549311	5.185816	4.408706	5.859708	5.205769	4.661583	4.263866	4.10737	5.462299	5.050072	6.472456	4.179016	4.658183	4.241239	4.521638	4.607299	4.697412	4.91117	4.211764	4.516656	4.807783	4.235641	4.125188	5.608284	3.901611	4.017207	5.408375	5.13272	4.337099	6.114649	3.926837	4.340713	3.9486	4.31127	4.503675	3.915097	4.198469	6.119424	5.312026	5.225895	3.820112	4.322339	4.640677	4.38098	5.443457	5.035863	6.646482	8.336243	5.585256	4.11466	6.263207	4.685254	4.50753	4.524143	4.704869	4.409339	5.414343	4.732782	4.504034	4.507627	3.964278	5.440677	4.180903	5.55153	4.344637	4.104533	5.488692	4.722525	4.245516	5.37995	4.717257	5.313305	3.713728	4.825572	4.507839	5.217673	4.048776	4.651188	4.298131	4.016995
IL16	5.392024	4.48565	5.537915	4.553048	3.806495	5.050786	4.48193	3.80609	4.70929	5.157333	4.680909	5.306099	4.613742	5.008413	4.540432	4.598475	5.087552	4.702972	5.063992	4.234438	4.569255	4.544219	4.249087	4.227702	4.666625	4.262799	4.630421	4.619326	4.667382	4.424805	4.049965	5.217925	4.274576	4.13173	4.698102	4.794231	4.291484	5.921745	3.696869	4.215141	4.411902	4.401225	4.391315	3.911547	4.321755	5.100862	4.745422	5.059246	4.221685	4.749761	4.631092	4.534161	5.110341	4.044337	5.726203	5.258581	5.561392	4.425771	5.282815	4.512861	4.504653	4.142577	4.67694	4.675465	4.369347	4.570921	4.786967	4.734598	4.558651	4.675362	4.371858	4.675035	4.67488	4.578431	4.176697	4.482956	4.250585	4.753666	4.490697	4.241829	4.347715	4.731801	4.553596	3.854993	4.497393	4.543438	4.277145	4.883453
IL2RG	6.654691	4.776118	6.772473	5.197429	5.061998	6.573543	5.29728	4.64537	5.116708	6.348437	5.359551	6.382705	6.483358	5.74911	4.84168	4.699803	7.065277	5.849989	6.635059	5.196139	5.708565	5.22141	4.847253	5.984195	7.877039	5.795867	5.020267	5.290369	5.737612	4.975188	5.171263	6.32864	4.655073	4.924478	5.810852	6.531078	4.659359	7.307231	4.454449	5.098592	4.474148	5.330277	4.561744	4.228533	4.882315	6.796144	6.68474	6.191132	4.256676	4.943899	5.631729	5.505824	6.632764	4.804913	6.857487	6.540789	7.532324	5.084095	7.063642	6.052892	5.723507	5.464514	6.023306	5.621103	5.958043	5.483966	5.22812	5.270869	4.549984	5.820343	4.449147	5.950642	4.882752	5.327991	5.298789	5.224724	5.937803	5.743212	5.655158	4.907524	4.673672	5.055156	5.438743	4.814429	4.242047	5.596969	5.492696	5.104775
JUN	7.693139	7.536883	8.613549	8.502431	8.384098	8.238935	8.371405	8.138414	9.245867	8.246735	8.053016	8.267889	8.27808	8.387856	8.177837	8.053201	8.683302	7.346793	8.389754	8.735327	8.769673	7.354617	8.454909	8.31002	8.789227	7.735238	8.462743	8.333235	8.062194	8.427107	8.727057	8.815129	8.271491	7.95065	7.745356	8.427761	9.096129	8.772443	8.889739	7.368873	8.859856	7.940136	6.105799	7.6175	7.958877	8.77446	7.890103	8.804071	8.405575	7.215236	8.76556	8.490521	9.7612	8.578557	7.953996	7.787203	7.791079	7.406491	9.649329	8.855623	8.193693	7.304249	7.749816	8.839147	7.982308	9.241438	9.057627	8.793952	9.10922	7.901628	8.318638	8.963267	8.800365	8.444917	8.461028	9.099505	8.377859	8.507796	7.627154	7.743964	8.762192	8.286703	8.512278	7.690668	7.761398	8.162303	9.13386	8.956589
LEF1	5.026803	4.87683	5.419703	5.516734	4.832254	5.000378	4.833341	4.330955	5.534954	5.151468	5.760265	5.875677	4.734657	5.69676	5.7506	5.625597	5.186695	5.88862	5.221255	4.971206	4.985587	5.15929	5.365836	4.674154	4.825928	4.316982	5.088476	4.92086	4.781411	5.005479	6.118763	5.395232	5.194687	4.764402	4.958574	5.274246	4.983402	5.728509	4.398248	4.838416	4.996729	5.680959	4.560956	4.439536	5.240603	5.518883	5.286087	5.266015	5.904323	5.843575	6.021434	4.752169	4.882772	5.174772	5.623195	5.399634	5.62886	5.285816	5.59908	5.28809	5.999564	5.525101	5.082181	5.273347	4.764658	5.128147	5.802866	5.429741	5.405211	5.105732	5.291473	5.258605	5.418566	5.01388	5.056568	5.844545	5.178288	5.183537	5.263064	4.984344	5.312639	6.41566	5.11856	4.065503	5.264183	4.937533	5.054517	5.414157
MAK	3.971065	3.559554	3.551553	3.544848	3.481655	3.457373	4.35739	3.369722	4.631154	3.958763	3.78838	3.553019	3.282219	3.003512	3.439546	3.403153	3.591017	3.417383	3.653671	3.247479	3.199968	3.703781	3.92655	3.156682	3.316236	4.446038	3.460339	4.400429	3.454585	3.416082	4.228957	3.523699	3.279008	3.206102	3.537388	3.439015	4.034991	3.326166	4.595646	3.320874	3.623953	3.482865	3.456433	3.962849	3.66471	3.337142	3.50547	3.42311	3.245432	3.550459	3.198798	3.483867	3.115478	3.411151	3.925132	4.371619	3.725442	3.488829	3.546361	3.225236	4.001596	3.724413	3.539657	3.900945	3.63425	4.546637	4.11808	4.159269	4.399012	3.253351	3.769398	3.569005	3.83505	3.552091	4.054221	4.114341	3.373972	3.643526	3.871113	3.273612	3.703051	4.012828	3.872306	4.398921	4.594829	3.511781	4.598216	4.651813
MED17	5.997372	6.455363	6.072178	5.739945	6.979426	6.697476	6.603449	6.950841	6.311274	5.926373	5.755851	6.362352	5.146394	5.421559	6.599331	5.751716	5.919915	5.943358	5.923603	6.286454	6.226358	6.02563	5.951444	6.169628	5.854945	7.045385	7.23176	6.245508	5.819613	6.300513	6.508368	6.287962	6.396442	5.764017	6.281014	7.745075	6.535117	6.579456	6.389378	5.997294	6.423246	5.645669	6.55561	6.405772	6.274372	5.894294	5.708317	5.7834	5.750691	5.926284	5.757046	6.618831	6.369834	6.164203	6.717629	6.268236	7.259394	6.267989	6.233889	6.022639	5.57673	7.14988	6.380824	6.094484	6.077744	6.500335	5.447991	6.16969	6.180252	6.397713	6.552719	6.242075	6.147895	5.854268	6.62205	5.703921	6.788003	6.583295	7.276072	6.662313	6.456923	6.204125	6.969246	5.743134	5.908621	6.750189	6.162142	6.225826
MRPL13	9.107226	8.717969	8.499824	8.732662	9.175408	9.318163	10.282374	9.833799	9.223591	10.195871	8.390952	9.988455	10.545996	8.692395	8.502511	7.895811	8.879116	8.677413	8.422856	8.610957	8.229733	8.497742	10.488635	9.947008	9.495334	9.912685	8.012206	9.468835	9.657283	9.57024	9.090936	8.911544	10.331627	9.382226	10.728733	9.373338	8.664433	8.497482	9.386977	8.931022	8.510058	10.179659	8.355239	8.371608	9.208894	9.319643	8.657761	8.048204	8.713036	9.513174	9.214488	8.94662	8.988542	9.537337	9.164232	9.142978	8.201061	8.740254	8.965568	8.823496	10.151859	9.097238	9.126433	9.342145	9.969517	8.101162	7.936928	9.037919	8.090996	9.216914	8.639415	10.014736	8.292048	8.880774	9.162729	8.655373	8.92233	9.02348	9.194921	9.467117	8.579295	8.663273	8.814931	8.904193	8.416694	9.685259	8.389558	8.344009
NFKBIA	6.909058	6.476897	7.059268	6.566647	6.780767	6.837396	6.26506	6.741229	6.695438	7.009874	6.697174	7.092875	7.016006	7.019272	6.687301	6.381399	6.894978	6.881256	6.906986	6.511497	6.848769	6.720991	6.671941	6.979418	7.811201	7.656142	6.746026	6.683622	6.520821	6.099236	6.316397	6.688927	7.01583	6.372356	6.863299	7.120383	6.856263	7.242299	6.166479	6.64598	6.682205	6.966255	6.564924	6.643401	6.642456	6.880975	7.024185	7.270887	6.697716	6.408323	7.119291	6.580258	7.260735	7.368657	7.117598	6.655026	7.208179	6.843483	6.802797	6.875107	6.908794	7.188714	6.6199	6.908649	6.957363	7.027886	6.890369	6.930173	6.412626	6.804251	7.02358	7.477176	6.872374	6.416434	7.298902	6.463609	6.818548	6.729136	8.207213	6.840031	6.529272	7.019439	6.829671	6.438708	6.345733	7.23956	6.856952	6.695864
NGB	4.47355	4.720975	4.564012	4.355211	4.894972	4.879128	4.738985	4.709099	4.462013	4.589573	4.206111	4.727005	4.80464	4.656596	4.621193	4.584955	4.82579	4.509829	4.998033	4.539961	4.57439	4.836038	4.648865	4.493712	4.680318	5.172732	4.453616	4.590213	4.541228	4.759129	4.855033	4.650348	4.678292	5.039731	4.619968	4.514391	4.363426	4.547293	4.761753	5.112835	4.195619	4.69583	4.912081	4.671192	4.63363	4.455449	5.088681	4.531498	4.591792	4.619886	4.604102	4.609124	4.457567	4.565964	4.275805	4.563467	4.489488	4.69143	4.496939	4.779161	4.744039	4.697766	4.414661	4.572414	4.633441	4.354932	4.510568	4.369071	4.802826	4.834488	4.575138	4.621161	4.77903	4.757915	4.588526	4.999369	4.704481	4.522351	4.469261	4.5713	4.730109	4.228929	4.699936	5.178843	4.398195	4.696468	4.88754	4.449173
NPR3	4.409987	4.476339	4.284659	4.753154	6.412781	7.184179	4.270744	4.116654	3.827493	4.113844	3.979071	3.460633	6.087594	3.817456	4.55689	5.306075	4.815282	5.010338	3.766371	6.777691	4.184098	4.194717	3.603633	3.914557	3.739936	4.914745	4.966034	4.200532	5.174262	4.513114	3.781376	7.279753	4.86426	6.703764	4.679472	4.116843	4.130121	4.300735	7.216129	5.016763	4.519416	4.052882	4.587445	3.813354	4.505942	4.108139	4.120808	3.715061	5.213385	4.419577	4.529411	8.208291	4.888312	4.760316	3.828176	4.401815	3.319651	4.430572	4.071579	4.513655	4.531073	3.9402	5.432674	4.830248	3.783177	3.95858	4.960265	4.779552	4.292231	6.412422	4.792819	4.880557	4.473129	5.054587	6.402994	3.939162	4.279195	4.139907	5.073367	3.908055	3.725612	4.019532	5.509386	3.631953	4.435989	8.20529	5.159949	3.910248
NRG1	3.420719	3.426724	3.657177	3.36012	3.808292	3.407319	3.496661	5.937268	3.653961	3.32396	3.365164	3.490932	3.394813	3.499397	3.32023	3.791135	3.469284	3.456599	3.353511	3.97908	3.388352	3.303235	3.473788	3.433042	3.897519	4.415745	3.477728	3.488226	3.33875	3.466525	3.706571	3.484939	3.358526	3.350382	3.464117	3.634719	3.352564	3.485293	3.470614	3.30234	3.740827	3.334626	4.585373	4.088996	3.391469	3.565622	3.729843	3.380295	3.741584	3.587519	3.6321	3.466483	3.693696	3.268225	3.392588	3.40923	3.681175	4.590713	3.40159	3.640204	3.468862	3.849351	3.711529	3.69357	3.557069	3.525995	3.447644	3.462972	3.726785	3.337576	3.564301	3.379805	3.987557	4.108823	3.553567	3.655215	3.576077	3.596598	3.398846	3.685284	3.409951	3.481638	3.59647	3.238122	3.721068	3.757963	3.659307	3.354087
NUP43	6.34555	6.31283	6.461216	6.183759	6.338575	6.077922	6.335847	6.447737	6.451166	6.54866	6.349232	7.051449	6.168244	6.376616	6.784292	6.110306	6.43209	6.258001	6.150041	6.241777	6.462346	6.958852	6.668432	7.140994	6.859558	6.819789	6.752435	6.104155	6.058851	6.369247	6.135747	6.844043	6.302885	7.003398	6.598672	6.366002	7.123246	6.654527	6.681116	6.946925	6.045871	6.242055	6.678012	7.14505	7.02265	6.890397	6.008298	7.019022	6.252553	5.932985	6.868384	6.530966	6.477642	7.506144	6.586918	6.796613	6.340727	5.976891	6.473776	6.419543	6.953818	6.507952	6.143908	6.362171	6.268649	6.554996	6.395278	5.80493	6.427271	6.701204	6.456086	6.207692	6.174173	6.144794	6.721065	6.983903	6.546426	6.017412	6.474466	6.463623	5.931241	6.002348	6.167565	6.345863	6.252153	6.299542	6.271407	6.54384
PARP12	8.515118	8.388804	9.10483	8.884475	7.937289	9.12747	8.497546	9.494575	8.924252	8.971242	9.309781	9.045559	9.195061	8.399733	8.23663	8.334048	9.789989	8.135206	9.16389	8.399351	9.02626	8.971661	7.468393	9.271046	8.945232	10.772306	8.474742	8.309624	8.941239	8.678633	9.033269	8.857485	8.1941	8.837276	8.749221	9.230621	7.964942	9.21693	7.046801	8.254358	7.480879	9.605985	7.439117	8.29929	10.211735	8.989145	8.851189	8.308496	7.761767	7.164809	9.072965	8.420552	8.84713	8.511104	9.04542	8.437147	9.749364	8.125833	9.64519	8.436698	8.167018	8.287545	8.783198	8.571192	9.262962	7.642869	8.128786	8.92056	7.964459	9.163676	7.7724	8.958852	7.883445	7.250031	9.119877	7.361317	8.934199	8.962143	8.927762	8.273992	8.703212	8.231932	8.434706	7.783429	7.343806	8.540876	7.07697	7.81234
PARP3	5.830209	4.991927	5.350097	5.533303	4.944988	5.404016	4.712947	6.129917	5.502384	5.481668	6.522955	6.38531	5.505433	6.27542	5.796981	5.881525	5.522162	5.120943	5.280367	5.53245	5.726311	6.435296	5.244392	5.488214	5.574693	5.472562	6.446183	5.179715	5.284885	4.956913	5.964181	5.166591	5.089762	5.353531	5.227876	5.93309	6.073112	4.838711	5.464234	5.951648	5.641084	6.209753	6.290744	5.658899	5.990551	6.091335	5.540372	6.234267	6.02843	5.285423	6.385979	5.755334	5.653372	5.709581	5.712246	5.243325	4.92809	5.968511	5.554633	5.214156	5.808509	5.183226	5.357986	5.205991	4.910857	6.087118	6.097754	6.299952	5.80031	5.040317	5.47469	5.811076	5.896749	5.290662	4.882817	5.735599	5.462367	5.389181	5.332254	4.573198	5.351012	6.298282	5.628147	5.853474	5.878402	4.948438	5.515346	5.709198
PDCD1	6.059096	5.450408	5.668403	5.629429	5.444058	5.9493	5.577296	5.651805	5.574312	5.462593	5.260762	5.610724	6.166663	5.611508	5.519319	5.255837	5.931569	5.974656	5.636719	5.484536	5.399581	5.460952	5.886064	5.676947	5.55795	5.845709	5.501635	5.579845	5.708	5.742065	5.502973	5.651805	5.712167	5.468992	5.699748	5.367505	5.190209	5.688763	5.418157	5.74797	5.377751	5.382575	5.519467	5.566989	4.982844	5.870543	5.875248	5.473762	5.623653	5.96154	5.761605	5.889819	5.877296	5.888968	5.770019	5.544383	5.937667	5.732236	5.967325	5.552924	5.680785	5.945627	5.637739	5.722599	5.959885	5.514484	5.862067	5.317697	5.492053	5.777096	5.365192	5.964525	5.751342	5.69882	5.524261	5.868773	5.228517	5.77493	5.944801	6.052627	5.906523	5.664527	5.390365	6.062343	5.545331	6.038969	5.511793	5.549345
PGAM1	11.095025	10.962191	10.821612	10.7124	10.48106	10.866994	11.008879	10.502193	10.758414	10.947652	10.816333	11.008049	11.476489	10.66343	10.531091	11.149224	11.154353	10.951106	9.961408	11.016018	10.923447	10.484177	10.319534	10.966242	10.806615	11.138197	10.848087	10.717886	11.518724	11.338156	10.514458	10.531674	10.681092	10.991806	11.091038	10.561905	9.911719	10.531519	10.410997	10.734179	10.902404	10.550622	10.96561	10.435474	10.529048	10.840459	10.399322	10.673396	10.631889	10.717727	10.359307	10.698018	10.487116	10.491437	10.598344	10.685168	10.565328	10.941794	10.410013	10.336971	10.670117	10.206413	11.131155	11.067881	10.472014	10.286396	10.57692	10.369109	10.619671	11.040422	10.701782	10.644658	10.82957	10.500455	10.731668	10.695874	11.706454	10.68678	11.109685	10.657257	11.41067	10.57179	10.926059	11.194999	10.717392	10.733658	10.825686	10.604221
PGK1	8.820201	8.059182	7.977104	7.602457	8.061356	8.141346	8.009121	8.151678	7.646542	7.719549	7.485596	7.064357	7.959638	7.12534	7.410436	7.507688	8.147844	8.129924	7.598539	8.318006	7.597388	7.557319	7.325673	8.34623	7.995848	8.334841	7.650765	7.927898	8.098287	9.042068	8.150748	7.531929	8.114298	8.293223	7.924492	8.116786	7.592838	7.438521	7.221377	7.729849	7.45022	7.854131	7.538946	7.395443	7.366385	7.651655	8.031603	7.79787	7.684475	7.636452	8.188808	8.832116	7.927111	7.295941	7.535923	7.823099	7.484385	7.957893	8.112112	7.494324	7.659172	7.355716	8.735958	8.296608	8.005183	7.312867	7.056875	7.164137	7.498372	7.723727	7.721311	7.384446	7.499769	7.452632	8.323248	7.53062	8.706894	7.472323	8.853263	7.72395	8.040329	7.189856	8.01714	8.429686	7.459926	8.234223	7.405572	7.373658
PIK3CA	5.042497	5.278811	5.270029	5.542259	5.429605	5.732141	4.994724	5.286715	5.328274	5.308097	5.128076	5.873081	5.171967	5.495043	5.459114	5.431109	5.054819	4.925979	5.056248	5.424087	5.550466	5.431711	5.346834	5.07582	5.163721	5.299838	5.467099	5.311209	5.665912	4.824371	5.906695	5.468653	5.776981	5.610364	5.346776	5.132829	5.539366	5.776242	5.562974	5.007865	5.809037	5.815633	5.920962	5.309595	5.517761	5.820819	5.136525	5.282277	5.454747	4.869203	5.039576	5.391952	5.046384	5.313702	5.897405	5.456456	5.260105	5.484182	5.356269	5.120162	4.829681	5.891533	4.822461	5.899839	5.27435	5.074091	5.59697	5.558077	5.3373	5.380299	5.574903	5.13989	5.225557	5.212676	4.939364	5.257686	5.756251	5.120932	5.661362	5.31513	5.458975	5.653906	5.612479	5.293886	5.400522	6.391274	5.20772	5.18135
POP1	6.15266	5.381304	5.225793	5.39072	5.868971	6.679606	6.5113	6.984047	5.445323	6.833539	5.197749	5.578794	7.109868	5.303259	5.380782	6.248778	6.445469	5.324081	6.247008	5.195706	5.321752	4.865955	5.649815	7.350053	6.300136	6.033922	5.052739	5.419626	6.405877	6.849167	5.870172	5.766314	6.240202	5.678303	7.414176	6.45158	5.332318	5.765199	8.018337	5.475503	5.651146	6.210873	5.68641	5.521788	5.552631	5.924483	5.726371	6.815933	5.86686	5.359523	5.987343	5.825462	5.962622	6.880553	6.297501	6.89483	5.293878	5.300553	5.504446	5.939739	6.816552	5.865417	5.896458	5.374745	5.899859	4.652094	5.600035	6.453759	5.508409	5.428209	5.717448	5.737385	5.42408	5.677749	6.978838	4.972776	5.771617	6.618977	5.422255	6.667431	5.571935	5.607867	5.328443	5.418733	5.382832	6.307366	5.390138	5.387818
RPA3	9.168515	8.2974	9.099364	8.836727	8.895946	8.087982	8.944533	9.036004	10.435741	8.812794	8.599266	9.458708	9.027045	8.365547	8.074902	8.259629	9.020786	8.443111	8.269316	8.439525	8.996618	8.843428	8.074595	8.843022	9.107276	8.954764	8.78136	8.92808	9.596107	8.884218	10.108787	9.253984	9.70997	9.413666	8.472539	8.657519	8.898336	8.25204	8.640949	8.706142	8.724148	8.406142	8.235565	8.912221	9.285484	8.853178	8.579379	8.948395	9.496312	9.065471	9.147633	9.318891	8.782874	8.795534	8.471876	8.976722	8.396726	8.664438	8.345676	8.143292	9.138409	8.269054	9.340655	9.013454	8.39439	8.188077	8.079081	8.40014	8.045438	9.154746	8.30623	8.213219	8.34119	8.845716	8.464551	8.959546	8.23239	8.762143	9.929691	8.752052	8.88305	9.011473	8.749353	9.431783	8.831862	7.973191	8.180988	8.70134
SCG2	3.88957	3.308349	3.817955	3.611857	3.800397	3.679588	3.785736	3.170877	3.435454	3.436789	3.544129	3.426174	3.10716	3.566446	3.399949	4.629855	3.279779	3.600545	3.802754	5.148458	3.787476	3.482551	4.05416	3.345669	3.082177	3.177266	4.288625	4.74363	2.9662	5.705555	3.943	4.373745	3.690197	3.409516	3.337295	3.68907	3.047872	4.331259	3.147791	11.933783	4.098554	3.367976	4.568496	3.419964	3.847502	3.537083	3.738018	3.654164	3.333006	4.715623	3.219068	3.360217	3.782287	2.995617	4.739632	4.020011	3.411619	4.053744	4.022245	3.646659	3.732228	4.051516	3.501797	3.95225	3.376781	3.807156	3.888378	3.908475	4.002757	3.681251	3.19595	3.426722	4.053744	3.904699	3.679058	3.329843	4.468339	3.205198	3.969644	3.721795	3.918888	3.468682	4.237798	3.403682	3.968988	3.047373	4.124588	3.679592
SDC1	9.823685	9.881095	10.346183	9.631972	9.846026	10.622322	9.269114	7.960973	9.754659	8.323393	8.980352	8.732816	8.311781	9.905699	8.889338	9.962437	8.644059	9.044799	9.184099	9.811843	9.495647	8.691477	9.447386	10.860483	7.690537	7.257931	10.146603	10.883671	8.353126	11.180634	8.376349	8.40784	9.62881	9.482091	9.420628	10.302541	9.120119	9.011456	6.63894	8.128291	9.793087	8.977634	9.244259	9.900079	9.188346	8.79772	8.931495	9.541653	9.59511	8.571241	8.328453	10.783363	9.330587	7.802616	9.354925	10.63746	9.301465	10.402335	10.188721	9.127265	9.211767	8.672765	9.733476	9.647631	9.981429	8.823634	9.188075	9.482685	10.535627	9.87269	9.313551	9.398372	9.831489	10.480813	10.206025	8.891866	10.292053	10.563356	10.39207	8.736814	9.183291	9.027336	10.197168	10.378676	10.127001	9.513281	9.426761	10.088274
SERPINA1	6.045717	4.51459	6.112721	5.253322	4.887763	5.863071	4.881108	4.032819	6.542046	5.190464	7.56515	5.309441	5.728993	6.757655	5.48939	4.749408	6.056583	6.564844	5.585512	5.523053	7.288049	5.386114	4.752439	5.230581	6.760253	5.641339	4.457547	4.395306	5.346743	6.166179	5.652599	5.174037	5.963289	4.850157	5.199903	5.772145	5.626098	5.275257	3.647142	4.82346	5.52659	5.415388	4.833602	7.650433	5.529605	5.846075	6.180245	5.397793	5.0487	4.71705	6.132128	5.445915	5.263679	4.177948	5.322664	5.475158	6.190098	4.521657	5.555514	5.820641	5.163835	4.936671	6.571238	5.722235	5.251824	6.354197	6.236998	5.300783	6.572833	4.647429	4.333109	5.265125	7.743079	4.432467	4.880682	4.361574	6.65293	5.185695	5.549153	4.51929	6.191499	5.474342	5.70783	6.26983	4.359843	5.516509	4.950088	7.510072
SFPQ	8.002877	8.45219	8.322331	8.485547	8.325765	8.055167	8.453427	8.112431	8.604614	8.532629	8.406011	8.183253	8.249191	8.359652	8.542354	8.252502	8.271054	8.495553	8.62367	8.081962	8.46395	8.161324	8.003368	8.574852	7.968628	8.278336	8.315635	8.460593	8.025158	8.43799	8.431407	8.06012	7.85975	8.510318	8.454014	8.140977	8.921895	8.261437	9.022035	8.150089	8.565739	8.105595	8.708342	8.42869	8.449746	8.661907	7.964018	8.042846	8.496559	7.473949	8.497565	8.261312	8.237919	8.766791	8.481177	8.325023	8.372619	8.064369	8.343285	8.167274	8.284541	8.057018	8.346704	8.497806	8.352767	8.566711	8.275157	8.453995	8.618937	8.444647	8.511081	8.311188	8.439701	8.32997	7.961157	8.120496	8.062374	8.325926	7.986696	8.214667	8.123719	8.622974	8.210766	8.341737	8.421517	8.054145	8.205451	8.379583
SIAH2	7.063635	6.655034	6.424542	7.924884	7.167063	7.524486	6.948694	8.651892	8.650086	7.914937	9.561081	8.682659	6.873924	7.66379	8.690229	7.302367	7.25911	8.841647	6.806522	7.59881	8.862316	7.086722	9.283339	7.926635	7.220823	7.978491	8.130673	7.218484	9.936192	6.775658	7.24358	6.770595	7.661685	7.356014	7.939765	7.330023	8.689415	6.823956	7.208352	8.131261	8.180569	8.659576	6.57947	7.859666	8.67336	7.763472	7.128017	7.725553	8.933656	8.229618	8.39426	7.278216	6.702931	8.985452	7.353899	6.882483	6.908397	7.915019	6.943712	7.922775	7.511423	7.706936	6.960757	7.681359	7.840736	7.810057	8.727541	8.254546	7.59549	7.193038	8.278808	8.5822	8.520594	7.730857	6.349109	8.638209	7.038267	7.318719	8.462564	7.260275	7.573267	8.77076	7.483279	7.227419	8.65109	6.907168	7.433527	7.580554
SIRT7	7.249628	6.158031	7.189127	7.520804	7.26855	7.169893	7.195649	9.177366	6.80604	7.264841	7.945601	7.3366	7.557121	7.2486	6.877585	7.37398	7.37509	7.306483	6.968442	7.535817	7.451889	6.863322	8.102873	7.409672	7.440254	7.814587	7.232112	6.992175	7.943232	6.84921	7.849831	7.184007	7.746543	7.032503	7.383289	7.351763	7.415644	7.240839	8.0045	7.360248	6.923923	7.300612	6.871053	7.375146	7.003505	7.582424	6.649458	7.046518	7.194679	6.619625	6.960924	7.230968	6.977667	7.822324	7.302565	7.180226	7.34111	6.860603	7.297809	7.224514	7.089773	7.253306	7.252015	6.932798	7.344809	7.000307	7.048026	7.074123	6.939265	6.82044	7.140948	7.706331	6.867608	7.130277	7.519719	7.05765	7.560402	7.626178	7.791255	7.206448	7.863046	7.282317	7.042422	7.179237	7.12931	7.04582	6.593464	6.786081
