GSM519722	GSM519723	GSM519724	GSM519725	GSM519726	GSM519727	GSM519728	GSM519729	GSM519730	GSM519731	GSM519732	GSM519733	GSM519734	GSM519735	GSM519736	GSM519737	GSM519738	GSM519739	GSM519740	GSM519741	GSM519742	GSM519743	GSM519744	GSM519745	GSM519746	GSM519747	GSM519748	GSM519749	GSM519750	GSM519751	GSM519752	GSM519753	GSM519754	GSM519755	GSM519756	GSM519757	GSM519758	GSM519759	GSM519760	GSM519761	GSM519762	GSM519763	GSM519764	GSM519765	GSM519767	GSM519768	GSM519769	GSM519770	GSM519771	GSM519772	GSM519773	GSM519774	GSM519775	GSM519776	GSM519777	GSM519778	GSM519779	GSM519780	GSM519781	GSM519782	GSM519783	GSM519784	GSM519785	GSM519786	GSM519787	GSM519788	GSM519789	GSM519790	GSM519791	GSM519792	GSM519793	GSM519794	GSM519795	GSM519796	GSM519797	GSM519798	GSM519799	GSM519800	GSM519801	GSM519802	GSM519803	GSM519804	GSM519805	GSM519806	GSM519807	GSM519808	GSM519809	GSM519810
CD74	8.334237	7.284588	7.575752	7.606442	6.58814	7.950484	6.562042	6.264411	7.657071	7.946347	7.790855	7.222649	8.142434	7.774485	7.377383	6.92298	8.539069	7.551537	7.708858	7.038479	7.316645	7.128387	6.461746	7.254873	8.26726	7.450676	7.172886	7.022947	7.293845	6.85502	7.679314	7.341618	6.910844	7.581814	7.308112	7.919681	6.785176	7.997734	6.105593	7.177	6.6288	7.979505	7.21494	6.713674	7.111321	7.799768	7.993836	7.830893	6.734977	7.135911	7.560077	7.117537	7.528488	6.434202	7.930739	7.280443	8.71226	7.08458	7.722069	7.346957	7.177589	6.806828	8.509589	7.346959	7.411067	7.124559	7.499034	7.632798	7.370166	6.929222	6.666805	7.659443	7.33108	7.060237	6.871932	6.513601	7.59044	7.176975	7.960694	7.003319	6.965536	7.889832	7.978416	6.270249	7.297864	7.260012	7.116899	7.51749
CLOCK	6.344533	6.308199	6.678673	6.766318	7.023894	6.522238	6.042467	5.853814	6.259554	6.684571	6.584326	6.838222	6.33714	6.713316	6.64753	6.564946	6.25641	6.43963	6.498953	6.107168	6.312503	6.445648	6.442254	6.155125	6.129383	5.698184	6.437037	6.499004	6.055958	6.086076	6.598864	6.126255	6.596784	6.107358	6.688815	6.269681	6.136024	6.404441	6.699076	6.096937	6.611748	6.283366	6.585564	6.568569	6.487361	6.147634	6.379609	6.431415	6.619799	6.111772	6.194865	6.022469	6.286399	7.085216	6.484063	6.412905	6.272304	6.772379	6.471309	6.689244	6.556743	6.251019	6.447326	6.130264	6.441524	6.502401	6.382727	6.36285	6.759976	6.193362	6.891513	6.200601	6.292663	6.752532	6.650763	6.488308	6.219355	6.37292	6.598156	6.212965	6.419041	6.273732	6.034302	6.404415	6.508678	6.133969	6.633265	6.433935
COL17A1	4.453393	3.871362	4.024225	4.510378	4.381922	4.584951	4.548653	3.755074	4.461609	4.179347	4.302524	4.0605	4.372788	4.57909	4.369884	4.254273	4.069347	5.224704	4.52412	4.48871	5.33498	4.187313	4.21479	4.073429	4.305864	4.005465	4.346474	4.560612	4.514142	4.29311	3.983483	4.40985	3.959319	4.476575	4.267841	4.340183	4.898454	4.582909	3.982799	4.103279	5.060469	4.137414	10.129603	7.940881	4.914454	4.379955	4.08041	4.132047	4.452389	4.628962	4.931732	4.148777	5.009401	4.607034	3.988015	6.195939	4.493485	4.461609	4.341577	4.384062	3.893938	4.461609	4.23061	5.525921	4.062484	4.707378	4.673972	4.988335	4.14844	4.472662	3.901883	4.433517	4.710116	4.237256	4.816749	4.626103	5.445802	4.842954	4.952705	4.341189	4.106981	4.507265	5.423476	4.57941	4.229114	4.28401	4.521911	4.18496
CXCL13	9.495725	6.151811	10.500012	6.17839	7.791107	10.634996	4.068892	5.256467	6.958997	9.32521	11.472661	13.647835	10.552212	6.723085	7.495695	6.911791	11.219549	10.016047	9.950097	7.87894	8.378956	6.367972	10.167397	9.032609	8.377754	10.354125	5.063954	6.156024	7.426242	9.998805	7.724467	9.523383	12.49038	5.429069	7.101888	11.633401	7.780738	10.025139	3.550116	7.660359	5.249605	7.054594	5.594118	5.202254	7.108317	9.703442	10.980562	8.147644	3.815726	8.451352	9.166791	7.938141	8.798314	5.38625	10.68225	9.784993	10.568432	4.366499	10.371668	9.880324	7.116664	6.650443	8.123658	7.564296	10.497679	8.12584	4.414732	8.04247	3.781766	8.362939	13.096499	10.387459	7.205569	4.913671	7.205104	8.101853	5.578731	9.213264	9.083346	5.878705	3.600744	10.112881	7.871491	4.417094	4.724201	9.237019	3.330532	6.658421
CXCL9	10.295651	6.82553	12.220792	9.141358	9.510779	11.422021	8.309265	4.610462	10.327145	10.737199	10.937843	10.229147	11.667991	9.823307	7.783264	8.720937	12.100186	11.631091	12.185504	8.879736	10.704353	8.736779	7.037219	9.258459	8.428291	10.053932	9.116394	8.838124	10.379982	7.67641	10.755368	10.226412	7.603835	8.72146	9.344518	11.544129	8.042361	11.738956	5.005348	7.788086	5.890472	8.03431	7.252047	6.064615	7.069436	12.193361	12.68119	10.530544	7.399011	6.136484	11.648248	10.562553	11.024058	8.003029	12.212799	11.363947	12.341008	6.982702	11.739265	10.984035	9.615842	8.277357	11.253862	10.42839	11.204988	9.93758	8.397427	8.429656	6.433982	10.759393	7.353234	11.906332	9.210729	5.031557	10.037433	8.611685	7.285035	10.854998	11.21763	8.199194	6.566174	9.199403	8.91448	7.904539	7.332984	10.711076	7.407091	7.775819
DDB2	7.051452	7.068564	7.59892	7.83968	6.445352	6.929851	6.159629	6.419817	7.410362	7.673534	8.040819	5.951133	7.580608	7.518749	7.427303	7.81358	7.952358	6.803743	6.923498	6.936212	7.675137	7.365763	6.202203	7.827402	6.952564	6.05407	7.046841	7.640414	7.159451	6.459501	6.374151	7.025229	7.259009	7.493612	6.822873	6.802921	7.045779	6.99741	6.963609	6.742864	7.168238	7.271345	8.091124	7.467892	6.330798	6.931503	6.605078	7.433629	7.632233	7.50861	6.895088	6.662974	6.928217	7.286399	6.731403	7.130548	8.198656	6.771311	7.062803	7.346775	7.518754	6.44498	6.938244	7.086777	6.011859	8.32007	7.321345	6.830684	7.449041	6.014307	6.664243	6.883884	6.985357	7.447207	6.205151	6.959459	6.71381	6.984874	7.397369	6.025608	7.287712	7.568109	6.549187	7.648478	7.112613	6.039357	7.536799	7.20483
EGR3	5.329782	5.23952	6.083364	7.036006	7.186276	5.929291	5.782925	8.644177	9.634415	7.04474	8.779996	8.617567	6.05969	6.087807	8.300703	5.958924	6.014081	10.188453	5.910716	6.575971	8.037188	7.547846	7.230582	6.031478	8.126238	5.167697	6.3313	8.606741	6.853929	6.08496	6.734866	7.405133	8.787303	5.389557	6.94726	5.616749	8.531793	9.739961	4.748125	6.24202	8.007699	6.647763	11.19673	8.070645	8.843361	6.758116	6.128918	7.816349	7.970233	6.476081	6.569869	5.432277	8.911149	6.359363	7.090383	7.514871	6.350135	5.776975	5.961384	7.631603	6.695618	5.171287	5.112687	6.382617	6.236399	9.676628	9.047917	9.034907	8.75706	6.501696	9.20636	8.236687	9.044944	6.736869	6.699692	9.020845	6.582169	6.340809	6.805991	8.279111	7.677488	7.762012	7.744928	4.43475	7.798715	5.329868	8.008362	9.699505
EPB41L4B	4.072365	4.494171	4.089064	4.02394	5.130208	5.077398	6.196871	5.55613	3.812176	4.2657	4.693148	4.82229	5.122161	4.993303	5.416952	5.09468	4.536405	4.100314	5.029482	4.517868	4.042211	4.934671	4.780753	4.9016	4.242036	4.886624	4.292432	4.942014	4.314536	5.233457	4.778393	4.686627	4.287919	4.328056	4.89748	5.243124	5.114394	4.139274	4.690477	5.573476	4.273704	4.398644	4.074539	4.947188	4.839724	5.201388	4.740633	4.728556	4.225553	4.85409	4.937481	6.234515	4.905213	4.713828	4.331863	4.383705	4.572819	4.879718	4.79465	4.150019	4.746515	4.757282	4.68492	4.364151	5.45627	4.704558	4.162757	4.723952	4.941684	5.312277	4.41468	4.934541	4.716053	4.708892	5.247866	4.356643	4.563761	4.946594	4.877837	5.852135	4.835633	4.774141	4.491783	5.276105	5.388465	5.556144	5.270873	4.284296
FLT3	5.063475	4.530318	5.064595	3.868591	4.095212	4.908123	4.436342	4.311142	4.544871	5.151294	5.239551	5.182228	4.768127	4.98372	4.524352	4.494647	4.70155	4.873198	5.127359	4.644633	4.534636	4.889527	4.184422	4.626082	4.795071	4.386812	4.862828	4.808298	6.252715	4.409162	3.883887	4.844072	4.669509	3.972131	5.583383	4.471429	4.970911	6.442752	3.997422	7.009051	5.112581	4.637778	4.373038	6.318762	5.042221	5.147637	5.22854	4.945092	5.386116	5.232395	5.008593	4.767868	4.855518	5.426628	4.854936	5.244295	4.420717	4.380864	5.373947	4.625379	4.530637	4.828469	4.609218	5.105844	4.509467	5.168438	6.305397	5.065636	7.09481	5.116491	7.061885	4.864984	4.858145	6.740709	3.993958	6.124878	4.317624	4.679582	4.860875	4.612279	4.857144	4.229405	4.552184	5.012372	5.293395	4.393931	4.417236	5.654325
GP6	3.118608	3.080388	3.409318	3.140613	2.811379	2.87045	3.684419	2.796642	3.114855	2.947022	3.00897	2.9064	3.018297	2.587175	2.897807	2.72417	2.959097	2.985406	3.270961	3.211434	2.853467	2.91777	2.653994	3.415821	2.721327	3.498756	2.828809	3.614487	2.767539	2.94865	3.173413	3.20136	2.980544	2.799281	2.721352	2.97908	2.876288	2.981315	3.243157	2.713449	2.729423	2.682162	2.907327	2.989904	3.221275	2.905274	3.129362	2.709736	2.843185	3.06985	3.034356	2.867092	2.993589	2.848722	2.828651	2.790547	3.146917	2.968579	3.131966	3.41008	2.972369	2.842618	2.743865	2.860737	3.03857	3.395314	3.388499	3.537088	3.082532	3.070314	3.292087	3.124043	3.09933	3.351004	2.972904	2.638939	2.685002	2.970214	2.978377	3.056143	2.668811	3.138178	3.154902	3.239173	3.16033	3.045158	3.282556	2.839491
