GSM107072	GSM107073	GSM107074	GSM107075	GSM107076	GSM107077	GSM107078	GSM107079	GSM107080	GSM107081	GSM107082	GSM107083	GSM107084	GSM107085	GSM107086	GSM107087	GSM107088	GSM107089	GSM107090	GSM107091	GSM107092	GSM107093	GSM107094	GSM107095	GSM107096	GSM107097	GSM107098	GSM107099	GSM107100	GSM107101	GSM107102	GSM107103	GSM107104	GSM107105	GSM107106	GSM107107	GSM107108	GSM107109	GSM107110	GSM107111	GSM107112	GSM107113	GSM107114	GSM107115	GSM107117	GSM107118	GSM107119	GSM107120	GSM107121	GSM107122	GSM107123	GSM107124	GSM107125	GSM107126	GSM107127	GSM107128	GSM107129	GSM107130	GSM107131	GSM107132	GSM107133	GSM107134	GSM107135	GSM107136	GSM107137	GSM107138	GSM107139	GSM107140	GSM107141	GSM107142	GSM107143	GSM107144	GSM107145	GSM107146	GSM107147	GSM107148	GSM107149	GSM107150	GSM107151	GSM107152	GSM107153	GSM107154	GSM107155	GSM107156	GSM107157	GSM107158	GSM107159	GSM107160	GSM107161	GSM107162	GSM107163	GSM107164	GSM107165	GSM107166	GSM107167	GSM107168	GSM107169	GSM107170	GSM107171	GSM107172	GSM107173	GSM107174	GSM107175	GSM107176	GSM107177	GSM107178	GSM107179	GSM107180	GSM107181	GSM107182	GSM107183	GSM107184	GSM107185	GSM107186	GSM107187	GSM107188	GSM107189	GSM107190	GSM107191	GSM107192	GSM107193	GSM107194	GSM107195	GSM107196	GSM107197	GSM107198	GSM107199	GSM107200	GSM107201	GSM107202	GSM107203	GSM107204	GSM107205	GSM107206	GSM107207	GSM107208	GSM107209	GSM107210	GSM107211	GSM107212	GSM107213	GSM107214	GSM107215	GSM107216	GSM107217	GSM107218	GSM107219	GSM107220	GSM107221	GSM107222	GSM107223	GSM107224	GSM107225	GSM107226	GSM107227	GSM107228	GSM107229	GSM107230	GSM107231
CD74	10.481988	10.288733	9.642742	10.146667	10.184065	9.948417	10.804328	10.407654	10.671655	10.554601	10.891977	10.296213	9.595983	10.935922	10.012484	10.418461	9.967946	10.434025	9.330799	10.559762	10.219338	10.525631	9.944942	9.936841	10.467445	10.255092	10.545966	10.95754	10.125335	10.619201	10.761315	10.546933	10.528338	10.15008	10.659431	10.921447	10.431614	11.182943	10.620318	11.140477	10.235863	10.322353	10.076725	9.591711	10.666238	10.022788	10.321678	10.096986	10.952967	9.408313	10.862669	10.443099	10.506301	10.236201	10.470981	11.062031	10.048942	9.76855	11.379003	10.283107	10.530896	10.37998	10.594157	10.291538	10.047516	9.739484	9.542409	10.494351	10.010342	10.669276	10.092827	9.765016	10.272072	10.783651	10.02796	10.828243	9.859889	9.967716	11.288759	10.348294	10.484751	10.884429	10.307949	10.279614	10.238365	10.601782	10.603639	11.148129	10.54973	10.730529	9.992745	10.576766	10.153668	9.451684	10.806617	11.133975	10.265416	10.470348	10.065009	11.06018	10.47472	10.821564	10.749632	9.822696	10.039778	10.96454	10.636479	10.218845	10.767004	10.681697	10.940518	10.448178	10.544623	10.866563	10.985164	10.100795	10.012341	11.210037	8.96077	10.559457	10.690701	10.949556	10.360023	10.855999	10.78262	8.713338	10.403335	10.198051	9.888062	9.60822	10.34173	9.929086	10.565114	10.518921	10.618159	9.354763	9.957882	10.121679	9.187641	9.488358	10.103916	10.293382	9.279957	10.482318	10.056261	9.163293	9.792437	10.457601	10.122156	10.115085	8.87304	10.350513	10.512874	9.464667	10.432293	10.343278	10.161861	10.013681	9.787144
CLOCK	6.515935	6.439175	6.75776	6.687254	6.404819	6.677772	6.15761	6.243156	6.738953	6.570358	6.559301	6.388745	6.75975	6.87485	6.607566	6.75371	6.660316	6.208299	6.574155	6.75087	6.942739	6.733671	6.651523	6.807446	6.800081	6.734645	6.795473	6.741372	6.812824	6.830499	6.699786	6.703655	6.39168	6.683774	6.702017	6.484756	6.667447	6.263289	6.520782	6.872092	6.01206	6.564113	6.284578	6.360902	6.876732	6.381179	6.649718	6.702484	6.475441	6.261994	6.479477	6.720006	6.495136	6.624136	6.551101	5.993201	6.445682	6.449055	6.349297	5.578722	6.27026	6.340417	6.512747	6.434202	6.334404	6.789589	6.60957	5.719089	6.299098	6.040342	6.458064	6.181308	6.166695	6.246357	6.66433	6.481604	6.317433	6.410278	6.915667	6.478661	6.1806	6.296897	6.432	5.941092	6.616188	5.802037	6.026201	6.295666	6.369565	6.652149	7.137436	6.583015	6.10706	6.819129	6.465795	6.750827	6.723537	6.585635	6.732428	6.736068	6.740829	6.646788	6.359689	6.895652	6.310199	6.722337	6.680468	6.68255	5.388368	6.389099	6.486899	6.62808	6.596004	6.588341	6.835943	6.478309	6.548365	6.687974	6.585091	6.689387	6.380271	6.468897	6.807319	6.526256	6.282917	6.373994	7.022071	6.435841	6.417845	6.59607	5.999759	5.801798	6.28924	6.047656	6.269712	6.369862	5.902841	6.263253	5.942985	6.537864	6.309144	6.310986	6.088262	6.712447	6.742689	6.388699	6.224431	6.348096	5.801099	6.640755	6.569113	6.631208	6.364975	6.416285	6.633481	6.251853	6.378819	6.356052	6.405185
COL17A1	3.910596	4.185445	4.921993	6.056777	3.676935	3.091384	4.592479	5.85169	3.050251	5.524042	3.676098	4.060032	4.006239	3.499295	4.236943	3.736872	4.085787	3.240107	4.023536	4.501654	3.215139	4.23611	3.984091	5.379438	4.488304	3.844481	3.936195	4.872823	6.003405	3.76548	2.776647	3.617219	6.362033	3.878098	3.375244	4.405158	4.892958	3.791578	3.897272	5.794364	3.372688	4.168783	6.097472	3.642688	4.174261	5.656026	3.803376	4.031227	3.811964	6.33109	3.268492	4.581445	3.757476	4.359476	2.739455	3.97471	4.133892	3.906657	3.861748	5.839832	3.126086	3.949358	4.423499	6.087066	5.956853	4.142237	6.847363	4.478673	4.462997	3.947635	3.165317	6.863545	4.115542	3.763712	5.600644	4.886063	3.481293	6.151466	5.070265	2.687336	5.022326	3.192185	5.943788	3.265207	4.15626	3.646748	5.968414	1.902792	3.984767	4.259764	2.770539	3.810926	4.110554	3.327917	5.013709	2.654461	3.702728	3.165163	4.988985	2.980042	3.653317	3.466466	6.757908	6.754957	5.969549	3.294063	2.602971	2.472174	4.731796	2.776901	3.587696	3.063158	4.131271	3.069597	5.033056	5.211216	4.458466	3.206163	4.564576	4.046715	3.697456	3.458542	6.03896	4.091559	3.059662	4.257334	5.156843	3.947124	3.319836	5.836494	3.454647	3.460276	4.126691	4.677903	3.444547	3.380163	4.219937	3.329706	3.385282	3.037192	3.449081	4.077478	3.116651	5.034082	3.988722	7.156274	3.169213	3.206137	4.417431	4.034753	5.604269	3.037428	4.751056	3.464966	3.509653	3.493002	3.343218	2.616434	3.913704
CXCL13	6.863294	6.076263	3.868162	6.77353	5.525127	7.327947	6.977002	6.665516	8.251883	7.430013	8.228764	7.21801	4.721546	7.761154	4.44725	6.76162	4.86736	4.687893	5.65003	9.820726	7.107599	7.006907	6.08667	3.887591	6.635645	8.357922	5.254492	6.346179	10.251237	7.997212	8.963017	5.942896	5.792647	4.2775	6.771647	10.455296	8.623317	8.612767	5.417853	5.347438	5.898588	5.945106	6.94695	6.413237	8.627113	2.667423	7.510747	4.42753	8.876516	3.461987	8.8791	5.079434	5.907314	9.653388	4.593347	5.942845	6.311738	5.221597	7.839532	6.480887	5.652805	6.83973	3.716872	5.102707	10.048295	6.546792	5.829113	8.117669	4.280675	6.98794	5.99711	2.975619	4.827783	5.251338	4.264711	4.839829	2.741481	8.766044	6.926397	6.708031	5.529559	3.549365	4.050083	6.268919	5.66433	5.501829	5.886409	5.811749	4.951866	7.430351	7.222443	5.012061	10.711113	6.703728	6.571302	8.977609	4.658986	5.570136	6.798649	8.677345	5.883617	5.964039	8.010714	4.847433	6.125994	7.565709	2.553914	5.725278	8.335394	5.447388	9.376619	4.021037	7.625104	5.544144	8.720691	4.788416	6.918452	10.732554	6.495066	7.960351	7.544295	10.538557	5.912701	7.658781	7.186576	3.904964	6.985587	4.670463	5.932413	10.423236	8.639149	3.159825	6.474804	8.980854	5.848458	5.490148	6.631132	8.758272	5.520238	5.510518	5.159507	5.558976	4.004207	7.948224	7.242727	5.884438	6.019164	6.805826	5.542125	5.530963	6.875661	7.449339	7.877463	4.268204	4.684638	6.575079	7.711649	4.491759	7.017159
CXCL9	8.196439	7.732474	6.453763	8.004739	7.068643	7.449258	8.695217	7.10362	9.570734	7.180773	9.736546	6.495761	6.861796	9.260576	6.967901	8.395746	7.096439	6.596767	6.824461	7.00285	6.84096	9.019205	7.234317	6.830731	7.041542	7.338477	7.124269	8.278661	7.359487	8.690518	9.338307	7.949278	7.838175	7.372287	7.779186	9.024104	6.25154	9.444132	7.412671	7.832886	7.572211	7.86058	6.053886	6.730349	7.057467	6.67197	7.516054	7.004508	9.879433	6.188717	9.799787	6.684677	7.813835	6.588156	6.761827	8.860543	6.863328	7.041823	9.913781	7.186954	7.83653	8.577276	7.058572	7.457605	6.744446	6.921153	6.475771	7.150972	6.691721	9.103113	6.799581	6.400735	8.20439	6.888999	7.070827	7.574246	5.866676	6.452289	9.028525	8.054861	6.816845	6.566164	6.768183	7.264573	7.902466	6.969063	7.134246	8.144121	6.834948	9.006342	8.701769	7.036366	7.002065	7.554926	8.675509	10.097802	8.803801	7.882662	7.119016	9.660914	7.224419	8.432547	7.965361	6.385501	6.812243	9.038794	6.134325	6.230023	9.562586	7.68623	10.448569	7.04143	7.483684	7.503731	8.852662	6.701393	7.614982	8.602782	6.887076	8.806546	9.201968	9.229206	6.749803	9.24947	8.245998	6.244565	7.110124	6.543313	8.021621	6.347075	8.453559	6.693989	8.951063	10.044323	8.36019	7.086742	7.271803	8.143175	7.19418	6.31446	7.56789	9.637373	6.605456	8.750342	8.895161	6.879847	7.352131	7.926266	8.118203	8.134642	6.118292	9.058379	9.265589	7.171998	7.143472	9.103334	8.535167	7.243653	6.945904
DDB2	6.652556	7.663571	6.54231	5.925099	6.867891	6.446907	6.801526	6.496661	6.610942	6.443671	6.70295	6.77936	6.694374	6.720978	6.953598	6.653713	6.320995	6.42624	6.507104	6.160799	6.443203	6.534612	6.849163	6.446119	6.457299	6.331685	6.408181	6.338825	6.096994	6.475468	6.468504	6.466399	6.055766	6.359436	6.240279	6.053161	6.703431	6.441381	6.380285	6.457805	6.979188	6.452103	6.114583	7.117497	6.662842	6.655394	6.573768	5.861019	6.658099	6.924878	6.698098	6.698822	6.457449	6.426905	6.531867	6.603454	6.450121	6.751201	6.44543	7.053759	6.536155	6.049686	6.668727	6.363406	6.552573	6.986033	6.355529	6.070972	6.305934	6.618868	6.774131	6.497769	6.643486	7.046042	6.482061	6.139156	7.458671	6.608979	7.026882	6.382573	6.522061	6.654047	6.091191	6.658918	6.08392	6.976054	6.674406	7.10943	6.599106	5.992835	6.404219	6.688394	6.549439	7.265009	6.530172	6.529949	7.219217	6.559567	7.122955	6.559695	6.841716	6.472759	6.896349	6.419505	6.637644	7.254826	7.364098	7.328019	6.415492	6.871937	6.562917	6.342368	6.691123	6.326197	6.852039	6.155121	7.125137	7.229658	6.026816	6.511868	6.087422	6.325244	7.281912	6.473032	7.020247	6.338243	6.506831	6.944324	7.57339	6.487894	6.548085	6.083137	7.265359	6.562788	6.626832	6.794474	6.554101	6.508266	5.801949	6.233714	6.736241	6.460501	6.606242	6.571357	6.112073	6.517433	6.285754	6.507062	6.442912	7.208956	6.442783	6.883184	6.339664	5.874548	6.437997	6.109688	6.275309	6.629838	6.298885
EGR3	6.439891	6.334158	6.593144	7.168038	8.097601	6.348198	7.999752	6.555033	6.311185	6.478013	6.641859	6.37325	6.511425	6.543531	6.826964	6.949482	7.14706	6.528817	6.615122	8.165803	7.249808	6.886587	6.622966	6.677649	7.758628	6.33463	6.621772	6.279737	6.826784	6.954309	6.411937	7.711591	8.328945	6.110255	6.950945	7.059219	7.523345	6.602599	7.509701	5.656817	7.363657	6.17908	6.90068	6.297282	7.38883	7.159063	5.857108	7.573952	7.126027	6.959183	7.272589	7.819773	5.891006	8.117717	7.668102	7.656726	5.888086	9.106737	6.408448	8.592637	6.019616	6.67056	7.663683	9.096012	7.295797	7.392079	7.134593	6.54164	6.127747	7.387774	7.142565	7.750331	7.200047	7.266599	7.623803	7.463489	6.282532	8.081559	7.261264	7.452645	7.214558	6.590263	6.961456	6.639716	7.501365	7.433145	7.529052	6.690114	6.474611	7.233247	6.702002	6.844659	6.966877	6.730624	7.681694	6.868253	6.805615	7.567139	7.392025	7.854284	6.357111	6.466186	8.4384	6.967238	6.472844	6.980043	6.684826	6.117681	6.74788	6.581719	6.484066	6.803352	6.699885	7.036617	7.79919	6.7879	7.067852	7.05845	6.292469	7.562339	4.982694	6.112686	5.42981	6.21427	6.457669	5.571004	7.21861	6.719553	6.587889	6.948873	6.953623	6.347952	6.436444	5.770631	7.315794	6.730199	6.747015	7.625219	6.383471	7.732034	8.68697	7.145531	6.365294	7.173778	6.629369	6.437528	6.154379	7.550059	7.262374	6.417659	6.500727	7.850243	6.703439	6.611085	7.50842	6.753898	6.739307	7.792325	7.626887
EPB41L4B	6.528989	6.471446	6.60828	6.753174	6.445234	7.075218	6.763392	6.46996	6.786275	6.917812	7.053795	6.531123	6.302534	6.677951	6.621742	6.673922	6.66075	6.316841	6.914971	6.71725	6.909982	6.08432	6.887094	6.970812	6.88544	6.54514	7.032266	6.794258	6.690631	6.334726	6.946392	6.65267	6.947921	6.633682	6.782709	6.335523	6.809109	6.56575	6.392567	6.789939	6.675957	6.496739	6.968981	6.47614	6.837315	7.135846	6.24583	7.044706	6.50664	6.930311	6.109782	6.625911	6.668309	6.554379	6.592358	6.999179	6.62755	7.116887	6.637908	6.231226	6.517935	6.682104	6.382218	7.065201	6.431611	5.88167	6.954406	6.287607	6.381795	6.377538	6.640394	6.267848	6.822592	6.44557	6.667444	6.910751	6.482355	6.771324	6.599183	5.988193	6.453266	6.863416	6.746192	7.117834	6.477033	6.644437	6.535812	6.000179	6.831032	6.805675	7.30897	6.495087	6.753458	5.685525	6.222181	6.608956	6.781182	6.612414	6.709106	6.279637	7.038604	5.529234	6.789832	6.891663	6.552466	6.638159	6.406665	6.04721	6.497274	6.732691	6.462535	6.836491	6.575949	6.378648	6.671114	6.885703	6.204156	6.634414	6.687117	6.120276	6.369343	6.099806	6.673729	6.148417	6.333361	6.405412	6.744677	6.408397	6.231791	6.661751	6.642882	6.582697	5.555752	7.028429	6.748042	6.424003	6.545425	6.622334	7.500186	6.783432	6.786191	6.779514	6.500567	6.60347	6.876803	6.496185	6.587587	6.438793	6.994195	6.824806	7.142821	6.590097	6.442375	6.752959	6.730275	6.546016	6.794766	6.144689	6.245639
FLT3	6.275818	6.336308	5.918108	5.864386	5.831793	5.733467	6.15929	6.062022	6.281886	6.420481	5.698064	5.924558	5.600453	5.732672	6.329697	6.527738	5.932011	6.299548	5.641197	6.675906	6.442525	6.136474	6.281439	5.509584	6.666055	5.96826	6.468753	6.035398	6.426453	6.251598	5.141475	5.968214	6.54356	6.170004	6.529469	5.821342	5.988892	6.17872	6.017656	6.435343	6.15754	5.697312	6.13638	5.683814	5.853495	6.089351	6.654744	6.130679	6.398142	6.01698	5.98175	6.298295	5.346879	6.470428	6.718338	5.693903	6.106709	6.218008	6.391573	6.596818	5.68913	6.180356	6.319985	6.154281	6.463872	5.672825	6.240595	6.15216	6.314348	5.951395	6.383442	5.99022	5.943777	6.22539	6.329501	5.257293	6.810453	5.841452	5.937686	6.048809	5.880197	5.109182	5.643594	6.112298	6.227685	5.81195	5.993751	6.26472	5.993754	6.373097	5.556541	6.916039	6.540449	5.846043	5.707642	6.363602	5.771432	5.844864	6.202506	6.116291	5.892708	6.222509	6.633339	5.846083	6.212713	5.521811	5.104581	5.275753	6.008929	7.010473	5.788982	6.552688	5.820431	5.942343	6.12251	6.053746	6.37999	5.798944	6.391154	5.868975	6.071029	6.034694	5.852484	5.456181	5.423795	5.967558	6.542932	7.302547	5.752593	6.444614	6.239303	5.820346	4.871544	6.042973	5.781704	5.288126	5.735208	5.949461	6.114955	6.784371	5.355018	6.135518	5.740262	6.126275	6.136391	6.020153	6.097676	5.432863	5.608426	6.153641	6.386564	6.498583	6.188364	6.236207	6.323698	5.669087	5.662757	5.56039	6.200835
GP6	5.512812	5.620404	6.100267	6.077585	5.748008	5.761134	5.736162	6.277444	5.850681	5.976672	5.922386	5.64315	5.529898	6.129565	5.785861	6.254083	6.027014	5.983323	5.505975	5.661305	6.320836	4.946725	6.066871	6.018278	5.76963	5.96148	5.485423	6.099643	5.123032	5.576745	5.453008	5.461698	5.70719	6.210418	5.68662	5.699047	6.288612	5.797137	5.75725	6.31539	5.770583	5.722554	6.075815	5.442866	5.964346	5.891096	5.946043	5.82278	5.509886	5.81264	5.598704	5.746666	5.658966	5.082655	5.64701	5.507996	7.139124	5.766878	5.831078	5.275257	5.899139	3.879175	5.725852	6.150375	5.801835	5.263165	4.844504	5.711824	5.912664	5.895052	6.096975	6.050295	5.50274	5.359632	5.277997	5.201032	5.200035	5.935473	5.785116	5.710495	5.440116	6.082136	5.279381	5.305925	5.89209	5.381253	5.388026	5.356336	5.48439	6.570447	5.835717	6.060868	6.117391	4.299705	5.874173	5.469495	5.869504	5.926129	5.115748	5.773462	5.642767	3.574563	5.875018	5.5982	4.141779	5.052374	5.16382	5.699361	5.717456	5.334021	5.701186	6.108495	5.640368	5.855131	5.902414	5.811181	4.828363	5.242057	5.820488	5.385121	5.502376	4.489305	5.593083	5.429618	5.519221	5.525321	3.807269	5.669709	5.576391	5.865257	5.062645	5.774557	5.577211	5.775448	5.265378	5.933283	5.211032	5.554395	5.967378	5.96099	5.828548	6.109064	5.734642	5.98655	5.772366	6.337102	5.480567	5.533269	5.346062	5.790926	6.205749	5.264389	5.406697	5.795183	5.553184	5.560992	5.238652	5.6048	5.710775
GPLD1	4.591102	4.876352	5.075253	4.481747	4.292717	4.568397	4.662672	4.356473	5.091932	4.416915	4.444438	4.502867	4.820568	4.46782	5.231222	5.235857	4.661949	4.618876	5.007811	4.656202	4.7652	4.470234	4.945334	3.937505	3.938521	4.134529	4.764768	4.935038	4.077469	4.361009	4.571506	4.757307	4.392545	5.250411	4.835058	4.258067	4.6515	5.230033	4.880713	4.995314	5.246006	4.920506	4.622502	4.818135	4.557122	4.382391	4.419845	4.634619	3.893393	4.887443	4.177201	5.132547	4.722551	4.672978	5.021994	4.426683	5.508685	4.742367	5.011951	4.386854	5.001312	4.790417	5.033989	4.708027	4.923345	4.531118	5.272332	5.315654	5.116811	4.770241	5.242344	5.134237	4.724001	4.07518	5.253929	4.264444	3.958408	4.831376	4.679001	4.144397	4.046137	5.156803	5.058976	5.059793	5.453153	4.68591	4.519492	4.413262	4.687954	4.618782	4.279071	4.484795	4.777662	4.940992	4.783408	4.280701	4.995482	4.514364	4.167764	4.789762	4.434527	4.242457	4.762113	4.096225	4.911564	4.107381	4.116795	3.917003	4.370459	4.653409	4.543913	4.683991	4.64935	4.69651	4.503956	4.873572	5.020434	3.718291	4.176422	3.929635	3.947306	4.680374	4.526909	4.343209	4.319391	4.785412	4.09409	4.160313	4.856619	4.60327	5.167911	5.166067	4.119627	4.452632	4.522945	4.980762	4.075001	4.462868	4.978994	4.738795	4.544613	5.445659	5.047452	4.391551	4.850087	4.60537	4.45824	4.909109	4.679828	4.593834	4.700064	4.847232	4.959244	5.245114	4.228156	4.316235	5.0946	4.236798	4.348018
HDAC2	7.586771	7.475963	7.601184	7.93819	7.37498	8.066256	7.390303	8.106416	8.770619	8.135139	7.799098	7.448389	8.024339	7.696014	7.08322	7.284041	8.225342	7.703978	7.93087	7.978528	7.860297	8.2576	7.998694	8.597413	8.597124	7.64146	7.431172	7.906769	8.778921	8.108435	8.44694	7.185963	7.932664	7.639418	7.776402	8.391426	7.844184	7.732653	8.241254	7.546316	7.080433	7.68338	8.31904	8.306862	7.607179	7.971163	7.369829	8.005758	8.530235	7.92493	8.78282	7.259369	8.417666	7.837051	7.466087	7.50308	7.810985	7.696974	7.957464	7.829392	7.648897	8.201397	7.365636	7.503929	7.782044	7.422261	7.162377	7.692097	8.748879	8.072533	7.501994	7.901492	7.971722	7.717454	7.985863	8.24424	8.447469	7.850343	9.153018	7.795721	7.833924	7.325208	7.982396	7.454695	7.106854	7.807806	7.97851	8.388361	7.293229	7.666479	9.397813	7.929382	7.756606	8.817725	8.056133	7.726387	7.936074	8.030974	8.315722	8.320131	7.967307	8.049521	8.462774	8.094938	7.522509	7.566186	8.033249	8.094346	7.869144	7.692466	8.464946	7.66421	7.937634	8.032491	8.055552	8.31067	8.058784	7.956979	9.184043	7.728879	8.029672	8.634524	8.491965	8.610614	7.234784	9.31069	8.309874	8.061676	8.036446	7.545822	8.105474	8.972615	8.405843	8.665271	7.758518	8.098035	8.149958	8.344081	8.212209	8.279217	7.767893	7.907743	9.043932	7.83602	8.609264	8.670877	7.909217	8.325708	7.977027	7.524111	8.213366	8.726839	8.089915	8.361599	7.918778	9.254563	8.686196	8.335015	8.206721
HLA-F	8.605315	9.101097	8.22456	8.75008	8.325973	9.053251	8.667097	8.121507	8.631597	8.072282	8.974722	7.976958	8.061007	8.863275	8.244831	8.179445	7.893698	8.326776	8.608115	8.080845	8.292421	8.473825	7.849827	8.135547	7.573098	9.106295	8.269211	8.392735	7.806395	8.204088	8.785726	8.539758	8.297662	8.331139	8.291726	8.726542	7.916271	8.854082	7.733857	8.508277	8.094859	8.23031	7.670983	8.139695	7.774327	7.844766	8.342023	7.595127	9.052029	7.863719	8.838045	8.288789	8.447206	7.99543	8.318712	8.635871	8.500447	8.094682	9.059721	8.231564	8.603927	8.309389	8.124249	8.045317	7.872401	7.998106	7.953371	8.396198	7.986666	8.931761	7.867967	8.330144	8.484555	8.996958	8.199547	8.469486	8.461219	7.82413	8.395184	8.236502	8.193141	8.239159	8.231512	8.415075	8.250183	8.621586	8.437484	8.836852	8.338926	8.887552	8.065345	8.309639	8.261002	8.070711	8.504883	9.001877	8.112084	8.241521	8.051447	8.604374	8.36725	8.767811	8.8012	7.874625	8.800646	8.971797	9.13371	8.061958	8.776335	8.431923	9.255851	8.159568	8.308497	8.557661	8.446225	7.773658	8.282585	8.589472	8.033645	8.426402	8.769797	8.489467	8.412123	9.142887	8.762329	7.328391	8.13293	8.548375	8.598862	8.122719	8.541798	7.623845	9.18422	8.586871	8.76492	8.124568	8.151886	8.355808	8.271694	8.572411	8.234102	8.395654	7.416654	8.223041	8.424659	8.789105	7.790194	8.390676	8.113337	8.361231	7.550757	9.10315	8.722815	7.817931	8.888755	8.196851	8.794186	7.807922	7.851341
IKZF3	5.276523	5.540954	5.067397	3.884743	5.264468	5.400011	5.064435	4.944526	4.180553	5.775356	5.516921	5.530076	5.754826	5.520071	5.474067	5.989972	3.907232	5.521827	5.236869	5.824815	5.284919	5.574178	6.227913	5.437675	5.514385	5.880448	5.423458	6.053712	5.545784	5.466585	3.861403	5.697261	5.025284	5.824008	5.225244	5.252742	5.183394	6.024389	5.636755	5.940566	4.224268	3.24899	5.391749	4.87453	5.086124	4.858557	5.497379	5.436922	6.262119	4.388328	5.99603	4.053683	6.462436	5.49402	5.861481	5.281673	5.641331	5.847523	5.946545	4.903369	5.489412	5.939461	4.750564	5.552335	5.321693	3.947459	5.827171	2.962762	5.548857	5.473175	4.630209	3.613707	5.359315	4.877592	3.386879	4.605883	4.878921	4.879276	5.737139	4.67185	5.450101	4.181501	5.250152	4.316685	5.464687	3.648367	5.187973	5.505124	4.431006	4.153751	5.489639	5.622726	5.59768	5.784195	3.707941	5.467996	5.372813	4.700573	3.704355	5.422691	5.221196	4.953143	4.9197	5.413007	5.260194	5.149126	5.500996	2.736198	5.788391	3.836354	5.607471	4.960963	4.174391	4.163487	5.421975	5.001675	5.263607	4.119853	5.66754	5.075723	6.199316	3.583167	4.521974	5.152726	4.84113	5.507697	5.197912	5.183887	4.997363	5.1809	5.016445	3.291017	5.217807	5.024608	4.034053	4.756382	4.875326	3.675863	4.139743	3.481371	5.650377	4.848689	5.097504	4.843085	4.913625	3.402805	4.507499	3.504244	4.899775	3.660881	5.722288	5.319506	5.366	5.6774	5.299941	5.949333	5.474098	4.663239	3.379716
IL16	6.061947	6.232642	5.743377	6.579549	6.535054	6.099619	6.84502	6.586108	6.830134	6.616191	6.185934	6.225931	5.404288	6.396811	6.589775	6.583841	6.379626	6.248437	6.467892	6.337841	6.361253	6.35678	5.792551	6.042643	6.348477	6.118961	6.260405	6.329115	6.574517	6.754572	6.43708	6.601823	6.496835	6.344984	6.503717	6.333249	6.443204	7.015445	6.603359	6.619878	5.775258	6.307822	6.339204	6.470414	6.369062	6.491866	6.354716	6.250375	7.555591	6.375758	7.522511	7.046161	6.449837	6.589166	6.247277	6.811482	6.735882	5.842657	6.628669	6.437109	6.426427	6.799127	6.43785	6.595087	6.380518	5.704208	6.544075	6.930608	6.594057	6.622584	6.325029	6.644578	6.809439	6.250107	5.614129	6.42847	6.162466	6.203305	6.31018	6.264705	6.086175	5.73554	6.377149	6.725077	6.05916	6.0227	6.59711	6.916852	6.587333	6.775801	6.23578	6.496977	6.469016	6.504697	6.569911	6.978026	6.296485	6.176141	6.217995	6.630377	6.231335	6.67542	6.773704	6.1333	6.045687	6.329954	5.145583	6.005653	6.545241	6.42465	6.508083	6.276119	6.649126	6.556289	6.874768	6.246651	6.88237	6.913406	6.31871	5.815593	6.317961	6.401593	5.985905	6.336174	6.440677	5.892659	6.313987	6.056142	5.865799	6.222403	6.629952	5.891967	6.532902	6.321642	6.159859	6.194626	6.208454	6.167006	5.642003	5.910641	5.969899	6.395256	6.136014	6.169585	6.42483	5.651466	5.522985	6.269642	6.244879	6.078351	6.023432	6.185943	6.743216	6.105336	6.301711	5.906391	6.352613	6.07276	5.714451
IL2RG	7.403752	7.375546	7.199015	7.178013	7.438832	6.949111	7.547684	7.26837	7.811624	7.770952	8.174246	6.920656	6.789652	7.704107	7.199293	6.929327	6.655274	7.051608	6.620518	7.205418	6.656816	7.291689	7.12967	6.343314	6.516903	7.196159	7.158888	6.765062	6.825454	7.377184	7.470601	7.053423	6.71548	6.97735	7.311259	7.375392	6.55951	7.969089	6.603505	7.212616	7.259547	7.073646	7.111109	6.262277	6.405592	6.505287	6.855503	6.671173	8.322375	6.525213	8.570268	6.840361	7.126764	7.364464	6.948793	7.504845	6.215352	6.732891	7.359918	7.323821	7.027959	6.89486	7.256215	7.02273	6.811393	7.012858	7.140447	7.577794	7.362625	7.685399	6.89549	7.106523	7.665644	7.390679	7.112059	7.010357	6.671932	7.153671	7.282642	7.559218	7.070004	6.954266	6.637749	6.858348	7.544364	6.989489	7.315558	8.202604	7.014638	7.263594	6.678232	7.42053	7.028256	6.732575	7.568773	7.807716	6.952726	7.321031	6.908861	7.768488	7.226409	7.269112	7.451205	6.863749	7.06506	8.032429	6.877418	6.633752	8.164766	7.291602	8.871482	7.211281	7.297061	7.442438	8.361827	6.827363	7.158401	8.447756	6.872787	7.679981	7.893421	8.219366	7.010382	7.525942	7.862451	6.70492	7.192116	6.488616	7.080784	6.857061	7.308716	6.737224	7.410975	7.345186	7.404559	6.649284	6.889352	7.10512	6.710605	6.795634	6.96053	7.283183	6.483947	7.163341	7.26984	6.847696	6.847885	7.111793	6.952022	6.939091	6.314228	7.477195	7.628433	7.193356	6.970637	7.095955	7.574015	6.983964	6.831907
