GSM177885	GSM177886	GSM177887	GSM177888	GSM177889	GSM177890	GSM177891	GSM177892	GSM177893	GSM177894	GSM177895	GSM177896	GSM177897	GSM177898	GSM177899	GSM177900	GSM177901	GSM177902	GSM177903	GSM177904	GSM177905	GSM177906	GSM177907	GSM177908	GSM177909	GSM177910	GSM177911	GSM177912	GSM177913	GSM177914	GSM177915	GSM177916	GSM177917	GSM177918	GSM177919	GSM177920	GSM177921	GSM177922	GSM177923	GSM177924	GSM177925	GSM177926	GSM177927	GSM177928	GSM177929	GSM177930	GSM177931	GSM177932	GSM177933	GSM177934	GSM177935	GSM177936	GSM177937	GSM177938	GSM177939	GSM177940	GSM177941	GSM177942	GSM177943	GSM177944	GSM177945	GSM177946	GSM177947	GSM177948	GSM177949	GSM177950	GSM177951	GSM177952	GSM177953	GSM177954	GSM177955	GSM177956	GSM177957	GSM177958	GSM177959	GSM177960	GSM177961	GSM177962	GSM177963	GSM177964	GSM177965	GSM177966	GSM177967	GSM177968	GSM177969	GSM177970	GSM177971	GSM177972	GSM177973	GSM177974	GSM177975	GSM177976	GSM177977	GSM177978	GSM177979	GSM177980	GSM177981	GSM177982	GSM177983	GSM177984	GSM177985	GSM177986	GSM177987	GSM177988	GSM177989	GSM177990	GSM177991	GSM177992	GSM177993	GSM177994	GSM177995	GSM177996	GSM177997	GSM177998	GSM177999	GSM178000	GSM178001	GSM178002	GSM178003	GSM178004	GSM178005	GSM178006	GSM178007	GSM178008	GSM178009	GSM178010	GSM178011	GSM178012	GSM178013	GSM178014	GSM178015	GSM178016	GSM178017	GSM178018	GSM178019	GSM178020	GSM178021	GSM178022	GSM178023	GSM178024	GSM178025	GSM178026	GSM178027	GSM178028	GSM178029	GSM178030	GSM178031	GSM178032	GSM178033	GSM178034	GSM178035	GSM178036	GSM178037	GSM178038	GSM178039	GSM178040	GSM178041	GSM178042	GSM178043	GSM178044	GSM178045	GSM178046	GSM178047	GSM178048	GSM178049	GSM178050	GSM178051	GSM178052	GSM178053	GSM178054	GSM178055	GSM178056	GSM178057	GSM178058	GSM178059	GSM178060	GSM178061	GSM178062	GSM178063	GSM178064	GSM178065	GSM178066	GSM178067	GSM178068	GSM178069	GSM178070	GSM178071	GSM178072	GSM178073	GSM178074	GSM178075	GSM178076	GSM178077	GSM178078	GSM178079	GSM178080	GSM178081	GSM178082
CD74	11.964199	13.441248	12.775161	14.368841	12.631667	13.58444	13.519486	13.66421	11.396323	12.97127	13.804757	11.582002	13.168591	13.708969	12.979316	12.370127	12.586476	12.711726	14.39446	12.840769	13.582342	11.253722	13.17526	11.754845	13.87382	13.146968	13.016061	12.725925	13.579298	13.736295	13.957138	12.126731	11.035256	13.537096	12.829546	11.67869	13.012493	13.775806	14.2176	12.571784	13.199503	11.135157	12.832123	14.460717	13.868233	13.424616	12.213601	12.43816	12.426817	13.50236	13.523132	13.135576	14.694636	13.126615	13.687851	13.024013	12.325764	13.350975	12.87835	11.087172	12.878692	11.933281	12.277916	12.068097	13.23088	12.028619	13.147813	12.211452	13.02048	13.119628	13.626285	14.154373	12.108044	13.85549	13.378205	12.946324	13.678633	14.087227	12.543753	13.289558	12.1293	12.929947	13.215841	13.300383	12.284327	14.573042	13.632057	12.018541	12.607237	13.398067	14.505817	12.272835	12.536878	14.07821	14.69761	11.698651	11.925386	13.186981	13.297003	11.925494	13.571713	13.467461	12.928938	14.635191	13.281175	13.255225	11.647671	12.826941	12.635376	12.735642	12.826149	13.833711	14.496263	13.198386	13.832563	12.8626	12.66095	14.556778	13.528294	13.917247	13.236821	12.93372	13.517367	12.867263	13.308013	13.950756	14.512224	14.173849	12.52393	12.726657	12.528506	14.524186	11.015829	11.486023	13.049524	14.086085	13.296896	14.101884	14.030496	11.731701	12.030093	12.494281	14.904655	13.183305	13.378182	13.58781	13.615701	12.555844	12.982918	13.71387	13.662037	13.857263	14.429251	13.008451	12.898329	13.942834	12.902681	13.967604	13.035358	12.963309	14.689237	13.063173	13.512808	12.759337	13.355579	13.03604	13.850735	12.257574	12.620913	14.543598	12.478749	13.586982	13.442169	13.568576	13.759449	12.751721	14.032589	13.398879	13.436334	13.011226	14.588074	13.83563	13.644603	13.647648	13.8875255	12.394941	14.355608	13.405621	13.814781	12.567889	14.508315	13.768665	12.667067	13.297952	12.66673	12.87528	15.147714	13.81977
CLOCK	8.044241	8.197231	7.068306	7.837187	7.244833	8.372044	6.504209	7.82889	8.474799	7.495246	8.488265	8.732921	8.204209	8.445964	8.251391	8.328366	8.935221	6.403415	6.862331	7.74334	8.499306	8.462074	8.620061	7.927773	8.402471	8.77667	8.421877	8.565467	8.516212	8.007795	8.635565	7.070679	8.933896	9.228735	8.811388	8.239844	8.182035	7.668906	8.773087	7.816906	8.664487	8.829824	8.934112	6.671869	7.4849	8.751173	8.005208	8.155211	7.97784	8.019271	8.362135	8.086973	8.344922	7.530455	7.858116	8.196586	7.379461	8.850259	7.305614	6.636122	8.147564	8.589046	8.4054	6.691623	7.732877	7.586972	7.682119	6.537294	7.821823	8.075894	8.284336	8.779648	8.569668	8.278278	7.009486	8.762469	7.982048	6.4558	7.24558	7.079223	7.807269	8.113143	8.110418	8.521452	8.120317	7.561129	7.545068	8.246147	8.069669	7.782465	7.838879	6.929756	8.375583	8.374954	8.153247	8.964267	8.69792	7.473653	8.677265	8.271632	6.766092	8.202293	7.157722	8.785069	8.931831	7.904782	8.580058	8.341806	8.599781	8.322965	8.438918	7.909592	7.078219	8.410257	8.267535	8.241135	7.657165	8.265247	8.658212	8.202147	8.121323	8.39499	7.306333	9.021649	7.882531	9.0472	8.091135	8.74179	7.890512	6.838569	8.07694	6.929679	8.274043	7.959548	7.087438	8.456976	9.317472	8.340835	7.624941	7.139039	8.82084	8.542604	7.339963	6.881014	8.701869	7.310624	6.702538	7.539944	8.69925	8.642323	8.640144	8.91797	8.006218	7.930716	7.581411	8.0088	7.992901	8.804583	8.187234	8.234862	8.669004	7.644297	8.125621	7.454502	8.942669	7.530378	8.356979	8.356758	8.42145	8.24506	7.983061	6.971049	7.23285	7.702126	7.948654	7.695322	8.44291	6.99665	6.683585	8.749368	8.620044	7.287987	7.728324	6.982376	8.4018601	7.304925	8.053047	6.825602	7.824882	8.463257	7.879347	8.416634	7.855804	7.613809	7.494324	8.797057	7.265895	7.514607
COL17A1	3.415543	3.133641	3.211625	3.168946	3.602046	4.959013	3.641056	5.942594	2.936321	6.101313	3.156764	4.296288	2.863364	4.607882	3.034689	3.109498	5.931611	3.881364	4.066108	3.715902	4.089825	2.981914	3.828244	3.504349	2.52146	3.978568	3.600598	8.135668	3.255745	2.89804	2.600281	3.1915	3.245838	3.075617	4.241939	2.826026	7.794896	3.907849	4.36622	3.370652	4.180072	3.467949	2.97863	2.540045	2.662484	5.426684	4.633129	7.007611	2.983293	3.365941	3.690178	3.346396	4.602391	7.844392	5.085866	2.91039	2.82726	3.107932	2.951475	3.269144	4.142486	3.209473	5.454442	2.903286	2.997071	2.858864	6.995916	2.895477	3.853549	3.83949	4.670564	2.814173	3.767937	3.896913	3.148597	3.919326	6.123687	5.031979	3.112266	5.725951	7.150508	4.55555	3.144356	2.845397	4.243348	4.314766	4.325818	7.939285	2.80843	7.535731	4.537917	7.214541	3.262816	3.866194	3.394193	3.14821	6.186526	3.763799	2.606736	7.687414	3.278503	4.438206	7.448011	2.720059	6.919041	3.378871	9.060219	7.270843	3.043744	4.175096	3.683323	7.7397	2.87802	4.436971	3.566759	3.62916	3.794988	4.153365	3.036997	2.41678	3.252739	4.076611	3.377855	4.581517	3.578118	3.887082	8.505776	3.062929	4.02898	3.592838	4.722334	2.754418	2.661521	3.153553	4.400558	3.767744	3.959518	6.421859	3.708533	9.01449	3.135743	2.981068	3.275314	8.177243	8.48539	7.072117	3.640529	4.168104	3.987492	3.188713	4.61689	3.565514	3.504269	4.401657	7.306048	3.459759	6.048831	3.26037	4.631629	7.613591	4.940406	4.034852	7.359043	3.411502	4.411501	3.249116	8.500764	3.960262	3.326631	4.54491	3.351648	3.137535	2.534894	3.940453	2.519856	2.9747	2.864925	5.753944	4.858776	3.630444	3.288122	4.629413	3.529448	2.654316	2.926174	2.607374	4.135277	4.443939	2.684746	6.009823	3.22952	3.057063	4.290785	3.285964	2.411735	2.960151	4.771517	2.764887
CXCL13	8.285855	10.982585	5.353166	11.286236	5.668848	9.148719	10.254646	7.957936	5.207758	6.772105	7.972448	9.863754	10.439563	8.624957	10.971977	6.662947	8.884362	7.694782	14.444098	9.130287	5.608933	4.695799	8.584473	7.863423	11.001893	4.447726	7.32108	11.924778	10.043881	12.286684	11.130248	13.23436	11.191724	11.088026	11.542906	5.873382	3.927222	8.957991	11.618235	10.210201	10.547333	4.645552	7.91076	5.940882	10.575852	6.865009	10.529692	4.637241	7.119793	9.855329	9.374185	14.551725	12.450726	2.012718	10.20349	1.406894	4.892956	11.649438	10.237278	6.096968	7.348504	5.51179	6.814761	8.642679	7.20935	5.138112	9.359176	6.817771	10.270969	9.646922	6.529124	11.250607	10.774127	7.286556	8.972359	7.62507	8.063358	6.146099	11.289518	11.540996	7.260237	8.058101	10.981215	9.598563	8.175554	11.212321	11.909291	11.363221	7.751163	9.773243	10.962382	12.953993	10.01144	11.317483	11.043686	6.879727	7.269483	8.256478	6.177401	7.139087	10.74029	10.396831	12.827995	12.75799	7.526518	13.800049	9.881169	8.326284	4.568411	7.918703	6.41658	6.581102	9.331259	7.502761	6.277144	6.683162	8.88697	6.067728	11.040116	7.080043	6.500597	7.468317	14.621627	12.01575	7.052497	9.511668	11.582239	11.877006	7.621224	11.053437	4.444904	9.337804	10.308322	4.24802	6.680198	9.874745	10.827509	10.836279	11.091085	13.525228	7.297785	11.745041	10.14155	9.011538	7.844161	5.747731	2.848836	4.470403	7.101449	11.636092	6.200762	7.448052	9.55429	6.790176	6.846148	8.304274	7.800224	7.8585	9.438318	14.774519	10.147823	6.697456	9.064549	5.166658	7.208386	9.142592	9.411798	9.413646	9.277143	13.209172	7.21974	6.374428	8.849625	8.087173	11.202873	5.839173	8.68791	7.418409	10.228832	11.979474	10.528841	10.769537	6.946418	8.750071	10.8119242	8.080171	10.530985	15.159369	9.991562	6.752721	12.955299	7.081873	11.420711	8.054775	8.652726	7.236758	13.699923	8.918122
CXCL9	8.571296	12.330929	7.264014	12.913434	5.286889	10.083747	11.334363	10.224982	8.077225	10.6681	10.622692	7.340352	12.588503	11.017613	12.872921	8.537167	10.156793	9.892197	12.135434	8.831359	9.870838	7.394215	10.16623	10.177456	12.770035	7.326457	8.166226	8.052421	11.976672	12.771077	13.101142	9.184709	8.353442	12.593745	6.774169	9.317241	8.472742	12.204894	13.691293	7.263494	13.126125	6.19964	10.845473	8.945064	12.776125	10.4399	6.971953	8.001871	10.455686	12.01152	11.439857	11.42724	14.263293	8.405221	13.25573	8.902453	7.407063	13.477763	10.595668	5.91744	11.200122	7.455754	10.80662	8.665358	8.900051	8.198577	10.252274	7.814674	8.665347	10.254917	10.420723	13.341675	10.716028	9.681559	10.663896	9.282384	8.964916	8.12599	11.274005	8.419552	7.914845	11.357542	8.179104	12.488044	9.993976	12.475931	13.688701	8.561699	10.03666	13.085107	13.011372	9.18406	13.244883	13.230956	14.133164	9.663357	10.316417	10.352938	7.896905	7.391189	13.665878	13.22475	8.640886	11.832927	8.710138	10.778259	8.305038	8.098102	8.228334	9.483636	8.985941	7.699549	12.763886	10.660128	6.869614	9.292804	11.469657	10.841416	13.060816	11.568271	8.851352	11.017895	12.169859	8.315321	9.406466	12.886567	13.187861	13.188598	10.254853	9.711984	6.748501	11.878767	7.943812	8.057361	8.222218	12.756489	11.459249	13.949425	13.396577	6.087444	12.004458	8.474439	12.838427	10.887407	9.442432	8.945245	8.113461	8.253868	8.802869	11.711932	10.393277	11.271295	12.481883	11.42899	10.301531	10.466758	11.021334	9.835566	9.021929	11.502397	13.127997	8.389733	8.173984	8.102379	10.720381	12.869192	8.070575	7.764854	12.337675	9.456421	9.444037	8.30227	10.074051	11.354656	10.507091	8.278963	10.716521	9.542696	12.637289	10.798198	11.901859	13.344631	10.056121	11.876319	12.5524399	10.116699	11.746096	9.190285	11.661492	8.962621	12.887114	10.08224	10.403993	8.24581	11.333039	8.94075	13.101839	11.630844
DDB2	8.12996	7.977192	8.479409	9.543387	9.659818	8.45028	9.076054	8.132404	9.03661	8.65611	8.40174	8.370661	7.56661	8.597774	8.314956	9.050753	8.102439	7.704103	8.113539	8.373011	8.518919	8.451337	8.102782	9.26677	8.233902	8.074203	8.636537	8.567695	8.463089	7.772632	8.024743	9.014018	7.509301	8.178237	9.243279	8.489689	8.029148	8.480036	8.865603	8.838736	8.574068	9.142229	8.44964	9.45175	9.083563	8.706184	8.65891	8.813461	8.247154	9.141786	8.606244	9.039313	9.073929	9.060972	7.968398	9.068669	9.598449	8.709311	7.574803	9.148986	9.093627	7.506314	8.988666	9.237308	8.540276	9.695416	9.141514	8.377702	7.91834	6.868835	8.621863	7.778596	8.242496	8.256119	7.064073	8.687514	8.865617	9.278657	9.403171	8.124559	8.460637	7.979353	8.743746	8.350063	8.652021	9.541654	8.468842	8.498517	8.412422	8.401723	7.668353	9.264595	7.753666	8.259068	8.496302	8.250781	8.981589	8.70402	8.352613	9.433597	8.301955	8.689949	8.582425	9.729099	7.816778	8.641799	9.580363	7.925582	7.353657	6.25676	8.473975	8.867664	8.017664	8.298328	7.964917	8.876675	6.836323	8.869046	7.311868	7.944968	8.659906	7.36757	8.341986	8.826613	8.202198	7.679538	9.33518	7.909584	8.229085	8.205152	8.252296	8.151423	8.778344	8.616104	9.160388	8.896225	8.305231	8.65684	8.823379	8.715106	9.229004	8.700135	8.60498	7.919141	8.939506	8.979897	9.29139	8.361054	8.958004	8.13612	8.239619	7.417272	8.868941	8.821648	8.672191	8.046984	8.715337	8.521735	8.370502	8.844605	8.553997	8.408364	8.733006	8.857515	8.105711	7.887586	8.961412	8.041161	8.242996	8.728452	8.494972	8.696804	9.595885	8.892253	8.839359	8.82179	9.042178	9.55405	8.12231	8.065217	7.645296	8.253782	8.22118	9.16982	9.4155452	9.658996	8.796077	9.505329	7.104475	9.277661	8.067455	9.35829	8.803203	9.383324	9.195185	9.078589	9.05929	6.959213
EGR3	5.120232	8.096234	8.444007	9.984224	8.431469	7.358936	6.495496	8.667648	10.144194	8.773808	8.740157	8.351177	7.11962	7.286331	7.333211	7.070149	8.458766	5.831721	7.754648	9.16464	7.914477	5.913389	7.635565	9.357064	7.734271	10.857057	7.308805	8.610357	7.308256	8.391071	9.095777	8.967562	11.107479	7.419996	9.654372	8.084906	7.952147	9.662095	7.712745	7.428874	7.756215	9.115957	8.490894	8.290521	6.841408	8.24682	8.490737	8.973552	8.786803	8.695699	7.014185	7.699735	6.290469	9.083167	8.287412	8.676832	7.383947	8.436876	7.770036	8.070703	8.685384	8.954216	8.397231	7.401375	8.301251	7.533462	8.594953	8.431867	8.176697	7.711803	9.064053	9.286541	8.331462	8.193111	7.550491	9.437332	8.4291	8.30013	5.906532	8.664817	9.623528	7.817551	8.085263	8.569375	9.807224	7.0138	9.324389	8.763461	8.502426	8.09894	7.711503	8.90228	7.62451	7.144121	7.880763	8.46839	8.113027	7.638564	7.930246	9.608987	8.684954	7.510917	9.524581	9.157279	9.384062	11.095657	8.905247	10.636242	8.037998	8.672349	9.203541	8.188279	9.150164	7.768229	10.512604	9.0619	6.821042	9.254576	8.367514	10.136497	7.379918	8.302603	9.34104	9.841669	9.014585	7.708556	9.802804	8.514837	7.997658	8.378092	7.879659	8.308378	6.560939	9.454336	8.772463	7.120572	7.963159	8.690029	7.778778	10.736456	10.509952	7.65452	7.689277	8.822004	8.934694	9.66973	8.180828	9.025204	8.751256	7.754416	8.214978	10.34457	7.378963	7.480142	9.013178	9.290723	8.137569	8.697195	9.996302	9.356578	8.573346	8.261596	10.857156	9.49226	7.854351	8.799136	6.685914	6.508948	7.32022	8.060399	8.378078	8.828505	6.566855	7.714273	8.185776	8.408355	9.109486	8.193774	7.359432	7.347917	7.644905	8.128238	9.051642	7.214574	8.1968671	8.390376	8.357012	8.812832	8.743207	7.627976	7.034812	7.886842	9.182571	8.028912	5.62835	7.937733	9.230903	7.610757
EPB41L4B	7.194571	7.431273	8.586257	7.656322	8.269044	8.143313	7.626482	7.542399	7.065903	7.690031	7.32629	9.759769	7.807435	7.551437	8.62263	6.444798	7.430377	7.990147	6.916781	8.013676	8.308316	7.78572	7.412793	8.043643	8.348475	8.47588	8.973428	8.869146	8.271763	8.05129	8.516556	6.903871	7.435404	9.053487	7.326285	8.722406	8.723716	8.1614	7.266901	8.463224	7.298094	7.661655	8.001478	7.872445	7.521245	8.553888	7.72035	6.805287	6.012768	6.839731	7.603393	5.114277	8.417799	8.27586	8.139281	7.602782	7.607405	5.382418	7.906787	5.954989	7.068487	8.461253	8.181274	5.900906	8.147248	7.287425	7.558318	6.196756	7.530526	7.515319	7.071218	7.430792	7.568241	7.875594	8.375536	7.669696	8.114373	8.185609	7.084742	7.508578	9.187236	7.485871	7.010549	7.218651	8.375908	8.034354	7.989115	8.425285	7.864364	8.662224	8.355919	8.805506	8.266894	8.284019	7.686292	8.540726	8.919298	8.819094	8.30564	9.266354	7.820475	8.98396	8.09513	6.680325	8.708317	7.84564	9.073356	9.030352	7.626245	8.334497	8.183349	8.339463	7.751508	8.007968	7.636902	6.771462	8.291229	8.374487	7.353963	7.95338	7.058073	6.144946	6.521791	8.020653	7.308183	8.59758	7.830363	8.268231	8.048677	6.895171	7.888217	8.54521	7.775841	7.421115	7.994625	8.381909	6.862192	8.349333	7.789314	9.123749	6.668319	7.650468	7.607898	7.654917	8.530586	7.692304	7.688423	9.356405	8.989647	7.227268	8.675804	7.79698	8.127694	8.134128	7.073615	7.580882	7.696712	8.543481	7.697644	7.472749	7.949466	7.235107	7.923935	9.154476	8.073865	7.161038	7.943229	8.732788	7.983481	8.238574	6.86508	7.257301	8.17646	8.545557	7.965154	8.354096	8.290341	7.169113	7.68724	8.682475	8.037056	7.015051	8.283215	5.995192	8.6367695	7.034368	6.153949	7.323302	8.535288	7.461143	7.772386	7.247652	7.511146	7.061617	7.388793	7.450526	7.081161	6.647967
FLT3	6.231791	6.428815	6.231663	6.842382	7.644465	6.53484	6.333539	7.249717	9.439112	6.508786	7.095678	10.123749	6.768865	7.473841	6.219233	8.332429	6.653042	5.130457	6.737568	6.336472	8.244822	7.06322	7.279953	9.219935	7.025473	7.753527	6.473246	4.780016	6.539625	7.624079	6.475127	7.351834	7.219506	6.956547	6.468121	4.999917	5.875384	5.296026	7.01819	5.007477	6.101077	6.310473	7.087803	6.294855	6.464546	4.540236	7.070366	8.915165	8.570989	7.128193	6.125519	6.677706	7.527999	7.047314	6.872048	9.700477	6.795316	6.564852	6.048761	5.685597	7.752712	4.217775	7.069837	7.287428	8.538155	5.795598	6.416843	2.887442	7.852448	4.930965	7.668229	7.20507	5.849755	7.869922	6.762145	6.897044	7.428556	8.023878	3.31711	7.917767	7.733699	6.806563	7.241249	6.810634	6.522329	7.690336	7.88076	7.62102	7.041752	7.179809	6.850623	7.440294	7.142355	7.483014	6.120723	6.597499	8.035257	5.903553	7.737137	7.310716	6.931503	7.008702	8.612617	9.096653	8.155334	7.97928	8.067895	8.423576	6.24069	7.56406	7.309445	7.216809	6.6711	7.29969	6.590731	7.322178	5.792821	6.846631	6.904424	7.458823	6.301169	6.826673	6.551451	8.46412	5.809945	7.080998	3.904724	6.795008	6.181993	7.624225	5.709424	6.775814	6.798011	7.770241	8.175712	6.801666	7.818544	7.530921	7.14495	8.456319	7.026372	7.378776	7.286449	6.918255	7.705804	7.813691	5.830784	6.37376	6.23865	6.804553	6.347459	8.285788	8.632276	6.981825	7.811556	7.364431	6.682365	7.52976	8.113774	6.421737	7.958882	7.363253	7.817798	6.681554	7.542518	3.415704	4.715991	5.971797	6.970427	7.597517	3.672182	3.992699	6.15828	6.303328	5.970427	7.883458	7.137626	6.308515	7.498956	6.983733	7.410497	3.810167	7.972676	6.979434	7.0820382	5.50822	7.947846	6.28577	6.352965	7.578351	6.182685	7.722267	6.784552	5.38708	4.232847	7.06666	7.620136	6.308873
GP6	7.389663	5.556316	5.963534	6.477289	6.107834	6.529748	6.862436	7.034008	3.540466	5.969775	6.673602	6.47719	4.273238	5.836368	6.190958	3.709078	7.366051	4.221494	6.570253	6.6526	6.714204	6.941896	6.748079	6.974741	4.002889	7.798911	7.086823	7.163274	6.30756	7.100209	6.287217	6.558714	6.553912	6.108685	6.143731	7.281731	5.412059	7.738455	7.406634	6.175374	7.01407	6.679037	6.540085	7.424097	3.793391	6.912817	7.545884	5.257401	4.132858	7.438456	5.261544	6.52262	5.981582	6.416759	6.94753	7.039487	6.804128	6.897535	3.974325	5.723888	5.223682	5.959632	5.924187	6.448992	6.795511	6.931381	7.025201	3.94865	6.622875	7.402872	6.805889	7.965035	6.739303	4.000142	6.708372	3.991135	5.696369	7.227345	7.035987	7.215004	7.641394	6.557925	7.216565	5.24717	5.836822	6.329695	5.132966	6.703873	5.98073	6.135452	6.10732	7.087143	6.446965	5.917373	5.761914	4.259171	6.099242	5.653639	7.623819	6.799323	6.074399	6.33277	7.705766	4.440596	5.494309	7.559828	4.192292	6.891063	7.242115	3.751779	7.176627	3.089362	4.759217	6.303363	6.643167	5.054083	4.125397	5.038156	6.232874	6.377355	4.310568	7.209965	5.715945	6.73235	5.883296	5.712111	6.810439	6.366033	4.263246	6.148798	4.985301	5.923091	6.871158	6.245145	6.121783	5.880852	6.473888	6.205669	6.273874	6.095112	3.516351	7.15088	5.463411	6.753895	5.576639	7.064278	6.375791	1.730411	7.064662	4.366699	3.975799	7.11995	6.535747	4.526392	6.757667	7.494233	6.095526	6.633248	7.045415	7.186835	7.266323	5.855193	6.54039	6.818918	6.426739	6.884531	6.790707	6.80206	6.453593	6.665113	6.481939	5.485225	6.436711	6.346081	4.788502	7.174478	6.688874	7.245844	5.812501	5.253519	4.603268	6.199012	6.691483	5.317989	6.5826402	6.398926	6.922253	6.371473	5.911948	5.654841	6.316731	6.243364	6.477837	5.588722	6.788588	6.039137	6.847775	6.101912
GPLD1	4.44898	4.746971	4.525967	4.84661	4.228461	4.392139	3.7462	5.674843	4.523777	4.600495	4.38943	4.882654	6.078668	4.835986	3.959513	4.456744	5.011065	4.4596	4.571729	4.339216	5.145235	5.220121	5.449475	4.913651	5.077501	5.265111	4.701304	5.375903	4.118856	5.225528	4.458031	5.111203	5.393225	5.240621	5.2236	5.24543	5.226468	5.108998	5.387013	4.706783	5.184903	4.84865	5.328756	3.614993	4.358747	4.743535	4.930747	4.355531	4.505741	4.808129	5.087942	4.644961	4.623205	4.667396	5.629101	5.405216	4.85083	5.029492	4.950249	4.083706	4.005447	5.261413	4.786167	5.172925	4.269678	5.060161	4.290442	4.245987	5.827341	5.26815	4.13047	5.741555	5.720134	5.044057	4.492616	5.25584	4.109924	4.388033	3.978581	4.411293	4.939005	4.554421	5.220498	5.389209	4.310471	4.968464	5.56621	5.714752	5.065059	4.329168	4.478334	5.259193	4.766872	5.648673	4.508794	5.111336	5.142426	4.904085	5.024061	4.440816	5.739207	4.92741	5.65833	5.238803	4.478077	5.663234	5.772034	5.402712	5.534387	5.791009	5.364155	3.664753	4.43251	4.367702	4.788228	4.496399	4.552671	4.720757	4.220524	5.002588	5.160268	4.179015	4.827189	5.14384	4.235418	4.499442	4.939937	5.076578	5.287453	4.169396	4.587458	4.606613	4.331252	4.938864	4.724785	4.501636	4.904842	5.571989	5.221419	5.043622	3.972178	4.234597	4.067294	4.292966	5.978941	4.109126	4.609145	4.094365	5.963418	4.755202	5.494726	5.731511	4.444066	4.855122	4.675649	5.194354	4.122065	5.175038	4.36335	5.286377	4.777731	4.337015	5.040238	5.181498	5.29068	4.609074	5.326398	5.00907	5.468781	4.370085	5.051723	4.548513	5.393037	4.725196	5.332986	5.589171	5.438764	4.852672	4.369624	4.560111	4.502921	4.101031	6.064607	4.838744	5.2165126	4.616673	4.760054	5.226216	4.592576	5.004604	3.02694	4.397298	4.410062	4.376586	4.010765	4.920038	4.681303	3.643564
HDAC2	10.883811	10.165303	10.77658	9.163948	9.128818	9.610119	10.5784	10.798903	11.041397	10.415754	9.908598	10.557651	12.0692	9.791114	11.578927	9.44913	11.064401	11.010161	11.835841	10.477387	11.461742	11.367211	11.22942	9.859961	11.977117	9.062418	10.311003	10.70625	11.395437	10.058888	10.426718	9.751649	10.736444	9.721075	10.474275	10.913064	9.897329	9.421845	11.232056	10.096217	11.60028	9.733305	10.342318	8.006676	10.036906	10.127799	9.129271	10.424098	10.201568	10.500832	11.043462	9.874582	10.587209	9.633294	10.75416	9.31439	9.612068	10.112394	11.746193	10.787989	10.151368	10.912807	10.765108	9.916219	10.549867	10.276144	10.049207	10.786726	10.942336	12.051282	9.401752	10.992945	11.252246	10.731265	11.041464	10.331743	9.640283	7.9995	10.580193	9.479387	10.441864	11.323433	9.010423	10.847891	10.650924	10.500488	9.88127	10.038967	11.308514	11.579212	11.290834	10.213693	10.64037	10.008609	11.05029	10.650124	9.987924	10.788507	10.743503	10.745555	11.868616	10.790318	10.296967	10.077295	10.746126	10.438925	10.403192	9.81069	11.417562	9.512239	9.779579	10.509222	11.175871	10.579019	10.450273	9.54366	11.599286	10.143633	12.812938	10.498845	10.562824	11.394149	10.309368	9.509306	10.646316	10.840406	10.545819	12.39929	12.179701	10.755857	10.118328	10.142128	11.23838	10.322745	10.409281	10.035854	11.714509	10.348049	10.794466	10.710434	9.90541	8.938062	9.49964	11.150754	9.960095	10.35594	9.286902	10.232801	10.29925	11.355096	11.322412	10.301699	9.283668	9.984206	10.609729	10.219095	10.584059	9.785969	10.134376	10.043255	10.426108	10.825095	10.001308	10.05674	10.536503	10.423888	10.402871	10.9144	11.687829	10.431788	11.118205	9.973172	10.874293	11.594423	12.029804	11.314037	10.603714	10.120465	10.979264	10.59382	11.732544	10.578193	9.502156	11.037212	10.1965629	9.597071	8.926108	10.081443	11.332595	9.741386	10.932576	9.98064	10.060666	12.184662	11.651446	9.25306	9.409031	10.704872
